legislator_id,period,party
902,2,PPD
905,2,UDI
906,2,UDI
908,2,UDI
911,2,DC
913,2,DC
915,2,RN
919,2,UDI
920,2,PS
923,2,UDI
924,2,PS
925,2,IND
927,2,IND
929,2,PPD
930,2,PC
931,2,PS
933,2,DC
934,2,DC
935,2,RN
936,2,PPD
937,2,PC
938,2,UDI
939,2,UDI
940,2,UDI
941,2,PS
942,2,UDI
944,2,UDI
945,2,UDI
946,2,RN
947,2,DC
948,2,IND
949,2,RN
950,2,IND
951,2,UDI
952,2,RN
954,2,UDI
955,2,UDI
956,2,PC
957,2,DC
958,2,PPD
959,2,UDI
963,2,DC
967,2,UDI
968,2,PS
969,2,DC
970,2,UDI
971,2,IND
972,2,PCS
973,2,PC
974,2,PPD
975,2,PS
976,2,UDI
977,2,DC
978,2,UDI
979,2,DC
980,2,PPD
981,2,PS
982,2,DC
983,2,IND
984,2,RN
985,2,UDI
986,2,PR
987,2,RD
988,2,EVOP
989,2,UDI
990,2,PS
991,2,PL
992,2,DC
993,2,PC
994,2,RN
995,2,RN
996,2,DC
997,2,IND
998,2,DC
999,2,RN
1000,2,PS
1001,2,PS
1002,2,PS
1003,2,IND
1004,2,PS
1005,2,UDI
1006,2,PC
177,3,PPD
802,3,PS
811,3,UDI
813,3,RN
819,3,PPD
836,3,PR
837,3,PS
839,3,PPD
843,3,RN
846,3,AMPL
848,3,PPD
850,3,UDI
852,3,PPD
854,3,PPD
855,3,PR
856,3,PPD
857,3,UDI
860,3,DC
862,3,IND
865,3,UDI
866,3,IND
867,3,RN
868,3,RN
869,3,PS
874,3,UDI
875,3,UDI
876,3,PPD
877,3,DC
879,3,DC
880,3,PS
883,3,PS
885,3,PR
888,3,PR
891,3,RN
893,3,DC
897,3,DC
898,3,DC
902,3,PPD
905,3,UDI
906,3,UDI
908,3,UDI
911,3,DC
913,3,DC
915,3,RN
919,3,UDI
920,3,PS
923,3,UDI
924,3,PS
925,3,IND
927,3,IND
929,3,PPD
930,3,PC
931,3,PS
933,3,DC
934,3,DC
935,3,RN
936,3,PPD
937,3,PC
938,3,UDI
939,3,UDI
940,3,UDI
941,3,PS
942,3,UDI
944,3,UDI
945,3,UDI
946,3,RN
947,3,DC
948,3,IND
949,3,RN
950,3,IND
951,3,UDI
952,3,RN
954,3,UDI
955,3,UDI
956,3,PC
957,3,DC
958,3,PPD
959,3,UDI
963,3,DC
967,3,UDI
968,3,PS
969,3,DC
970,3,UDI
971,3,IND
972,3,PCS
973,3,PC
974,3,PPD
975,3,PS
976,3,UDI
977,3,DC
978,3,UDI
979,3,DC
980,3,PPD
981,3,PS
982,3,DC
983,3,IND
984,3,RN
985,3,UDI
986,3,PR
987,3,RD
988,3,EVOP
989,3,UDI
990,3,PS
991,3,PL
992,3,DC
993,3,PC
994,3,RN
995,3,RN
996,3,DC
997,3,IND
998,3,DC
999,3,RN
1000,3,PS
1001,3,PS
1002,3,PS
1003,3,IND
1004,3,PS
1005,3,UDI
1006,3,PC
177,4,PPD
802,4,PS
811,4,UDI
813,4,RN
819,4,PPD
836,4,PR
837,4,PS
839,4,PPD
843,4,RN
846,4,AMPL
848,4,PPD
850,4,UDI
854,4,PPD
855,4,PR
856,4,PPD
857,4,UDI
860,4,DC
862,4,IND
865,4,UDI
866,4,IND
867,4,RN
868,4,RN
869,4,PS
874,4,UDI
875,4,UDI
876,4,PPD
877,4,DC
879,4,DC
880,4,PS
883,4,PS
885,4,PR
888,4,PR
891,4,RN
893,4,DC
897,4,DC
898,4,DC
902,4,PPD
905,4,UDI
906,4,UDI
908,4,UDI
911,4,DC
913,4,DC
915,4,RN
919,4,UDI
920,4,PS
923,4,UDI
924,4,PS
925,4,IND
927,4,IND
929,4,PPD
930,4,PC
931,4,PS
933,4,DC
934,4,DC
935,4,RN
936,4,PPD
937,4,PC
938,4,UDI
940,4,UDI
941,4,PS
942,4,UDI
944,4,UDI
945,4,UDI
946,4,RN
947,4,DC
948,4,IND
949,4,RN
950,4,IND
951,4,UDI
952,4,RN
954,4,UDI
955,4,UDI
956,4,PC
957,4,DC
958,4,PPD
959,4,UDI
963,4,DC
967,4,UDI
968,4,PS
969,4,DC
970,4,UDI
971,4,IND
972,4,PCS
973,4,PC
974,4,PPD
975,4,PS
976,4,UDI
977,4,DC
978,4,UDI
979,4,DC
980,4,PPD
981,4,PS
982,4,DC
983,4,IND
984,4,RN
985,4,UDI
986,4,PR
987,4,RD
988,4,EVOP
989,4,UDI
990,4,PS
991,4,PL
992,4,DC
993,4,PC
994,4,RN
995,4,RN
996,4,DC
997,4,IND
998,4,DC
999,4,RN
1000,4,PS
1001,4,PS
1002,4,PS
1003,4,IND
1004,4,PS
1005,4,UDI
1006,4,PC
177,5,PPD
802,5,PS
811,5,UDI
813,5,RN
819,5,PPD
836,5,PR
837,5,PS
839,5,PPD
843,5,RN
846,5,AMPL
848,5,PPD
850,5,UDI
854,5,PPD
855,5,PR
856,5,PPD
857,5,UDI
860,5,DC
862,5,IND
865,5,UDI
866,5,IND
867,5,RN
868,5,RN
869,5,PS
874,5,UDI
875,5,UDI
876,5,PPD
877,5,DC
879,5,DC
880,5,PS
883,5,PS
885,5,PR
888,5,PR
891,5,RN
893,5,DC
897,5,DC
898,5,DC
902,5,PPD
905,5,UDI
906,5,UDI
908,5,UDI
911,5,DC
913,5,DC
915,5,RN
919,5,UDI
920,5,PS
923,5,UDI
924,5,PS
925,5,IND
927,5,IND
929,5,PPD
930,5,PC
931,5,PS
933,5,DC
934,5,DC
935,5,RN
936,5,PPD
937,5,PC
938,5,UDI
939,5,UDI
940,5,UDI
941,5,PS
942,5,UDI
944,5,UDI
945,5,UDI
946,5,RN
947,5,DC
948,5,IND
949,5,RN
950,5,IND
951,5,UDI
952,5,RN
954,5,UDI
955,5,UDI
956,5,PC
957,5,DC
958,5,PPD
959,5,UDI
963,5,DC
967,5,UDI
968,5,PS
969,5,DC
970,5,UDI
971,5,IND
972,5,PCS
973,5,PC
974,5,PPD
975,5,PS
976,5,UDI
977,5,DC
978,5,UDI
979,5,DC
980,5,PPD
981,5,PS
982,5,DC
983,5,IND
984,5,RN
985,5,UDI
986,5,PR
987,5,RD
988,5,EVOP
989,5,UDI
990,5,PS
991,5,PL
992,5,DC
993,5,PC
994,5,RN
995,5,RN
996,5,DC
997,5,IND
998,5,DC
999,5,RN
1000,5,PS
1001,5,PS
1002,5,PS
1003,5,IND
1004,5,PS
1005,5,UDI
1006,5,PC
1007,5,PPD
177,6,PPD
802,6,PS
811,6,UDI
813,6,RN
819,6,PPD
836,6,PR
837,6,PS
839,6,PPD
843,6,RN
846,6,AMPL
848,6,PPD
850,6,UDI
854,6,PPD
855,6,PR
856,6,PPD
857,6,UDI
860,6,DC
862,6,IND
865,6,UDI
866,6,IND
867,6,RN
868,6,RN
869,6,PS
874,6,UDI
875,6,UDI
876,6,PPD
877,6,DC
879,6,DC
880,6,PS
883,6,PS
885,6,PR
888,6,PR
891,6,RN
893,6,DC
897,6,DC
898,6,DC
902,6,PPD
905,6,UDI
906,6,UDI
908,6,UDI
911,6,DC
913,6,DC
915,6,RN
919,6,UDI
920,6,PS
923,6,UDI
924,6,PS
925,6,IND
927,6,IND
929,6,PPD
930,6,PC
931,6,PS
933,6,DC
934,6,DC
935,6,RN
936,6,PPD
937,6,PC
938,6,UDI
939,6,UDI
940,6,UDI
941,6,PS
942,6,UDI
944,6,UDI
945,6,UDI
946,6,RN
947,6,DC
948,6,IND
949,6,RN
950,6,IND
951,6,UDI
952,6,RN
954,6,UDI
955,6,UDI
956,6,PC
957,6,DC
958,6,PPD
959,6,UDI
963,6,DC
967,6,UDI
968,6,PS
969,6,DC
970,6,UDI
971,6,IND
972,6,PCS
973,6,PC
974,6,PPD
975,6,PS
976,6,UDI
977,6,DC
978,6,UDI
979,6,DC
980,6,PPD
981,6,PS
982,6,DC
983,6,IND
984,6,RN
985,6,UDI
986,6,PR
987,6,RD
988,6,EVOP
989,6,UDI
990,6,PS
991,6,PL
992,6,DC
993,6,PC
994,6,RN
995,6,RN
996,6,DC
997,6,IND
998,6,DC
999,6,RN
1000,6,PS
1001,6,PS
1002,6,PS
1003,6,IND
1004,6,PS
1005,6,UDI
1006,6,PC
1007,6,PPD
177,7,PPD
802,7,PS
811,7,UDI
813,7,RN
819,7,PPD
836,7,PR
837,7,PS
839,7,PPD
843,7,RN
846,7,AMPL
848,7,PPD
850,7,UDI
854,7,PPD
855,7,PR
856,7,PPD
857,7,UDI
860,7,DC
862,7,IND
865,7,UDI
866,7,IND
867,7,RN
868,7,RN
869,7,PS
874,7,UDI
875,7,UDI
876,7,PPD
877,7,DC
879,7,DC
880,7,PS
883,7,PS
885,7,PR
888,7,PR
891,7,RN
893,7,DC
897,7,DC
898,7,DC
902,7,PPD
905,7,UDI
906,7,UDI
908,7,UDI
911,7,DC
913,7,DC
915,7,RN
919,7,UDI
920,7,PS
923,7,UDI
924,7,PS
925,7,IND
927,7,IND
929,7,PPD
930,7,PC
931,7,PS
933,7,DC
934,7,DC
935,7,RN
936,7,PPD
937,7,PC
938,7,UDI
939,7,UDI
940,7,UDI
941,7,PS
942,7,UDI
944,7,UDI
945,7,UDI
946,7,RN
947,7,DC
948,7,IND
949,7,RN
950,7,IND
951,7,UDI
952,7,RN
954,7,UDI
955,7,UDI
956,7,PC
957,7,DC
958,7,PPD
959,7,UDI
963,7,DC
967,7,UDI
968,7,PS
969,7,DC
970,7,UDI
971,7,IND
972,7,PCS
973,7,PC
974,7,PPD
975,7,PS
976,7,UDI
977,7,DC
978,7,UDI
979,7,DC
980,7,PPD
981,7,PS
982,7,DC
983,7,IND
984,7,RN
985,7,UDI
986,7,PR
987,7,RD
988,7,EVOP
989,7,UDI
990,7,PS
991,7,PL
992,7,DC
993,7,PC
994,7,RN
995,7,RN
996,7,DC
997,7,IND
998,7,DC
999,7,RN
1000,7,PS
1001,7,PS
1002,7,PS
1003,7,IND
1004,7,PS
1005,7,UDI
1006,7,PC
1007,7,PPD
177,8,PPD
802,8,PS
811,8,UDI
813,8,RN
819,8,PPD
836,8,PR
837,8,PS
839,8,PPD
843,8,RN
848,8,PPD
850,8,UDI
854,8,PPD
855,8,PR
856,8,PPD
857,8,UDI
860,8,DC
862,8,IND
865,8,UDI
866,8,IND
867,8,RN
868,8,RN
869,8,PS
874,8,UDI
875,8,UDI
876,8,PPD
877,8,DC
879,8,DC
880,8,PS
883,8,PS
885,8,PR
888,8,PR
893,8,DC
897,8,DC
898,8,DC
902,8,PPD
905,8,UDI
906,8,UDI
908,8,UDI
911,8,DC
913,8,DC
915,8,RN
919,8,UDI
920,8,PS
923,8,UDI
924,8,PS
925,8,IND
927,8,IND
929,8,PPD
930,8,PC
931,8,PS
933,8,DC
934,8,DC
935,8,RN
936,8,PPD
937,8,PC
938,8,UDI
939,8,UDI
940,8,UDI
941,8,PS
942,8,UDI
944,8,UDI
945,8,UDI
946,8,RN
947,8,DC
948,8,IND
949,8,RN
950,8,IND
951,8,UDI
952,8,RN
954,8,UDI
955,8,UDI
956,8,PC
957,8,DC
958,8,PPD
959,8,UDI
963,8,DC
967,8,UDI
968,8,PS
969,8,DC
970,8,UDI
971,8,IND
972,8,PCS
973,8,PC
974,8,PPD
975,8,PS
976,8,UDI
977,8,DC
978,8,UDI
979,8,DC
980,8,PPD
981,8,PS
982,8,DC
983,8,IND
984,8,RN
985,8,UDI
986,8,PR
987,8,RD
988,8,EVOP
989,8,UDI
990,8,PS
991,8,PL
992,8,DC
993,8,PC
994,8,RN
995,8,RN
996,8,DC
997,8,IND
998,8,DC
999,8,RN
1000,8,PS
1001,8,PS
1002,8,PS
1003,8,IND
1004,8,PS
1005,8,UDI
1006,8,PC
1007,8,PPD
177,9,PPD
802,9,PS
811,9,UDI
813,9,RN
819,9,PPD
836,9,PR
837,9,PS
839,9,PPD
846,9,AMPL
848,9,PPD
850,9,UDI
854,9,PPD
855,9,PR
856,9,PPD
857,9,UDI
860,9,DC
862,9,IND
865,9,UDI
867,9,RN
868,9,RN
869,9,PS
874,9,UDI
875,9,UDI
876,9,PPD
877,9,DC
879,9,DC
880,9,PS
883,9,PS
885,9,PR
888,9,PR
891,9,RN
893,9,DC
897,9,DC
898,9,DC
902,9,PPD
905,9,UDI
906,9,UDI
908,9,UDI
911,9,DC
913,9,DC
915,9,RN
919,9,UDI
920,9,PS
923,9,UDI
924,9,PS
925,9,IND
927,9,IND
929,9,PPD
930,9,PC
931,9,PS
933,9,DC
934,9,DC
935,9,RN
936,9,PPD
937,9,PC
938,9,UDI
939,9,UDI
940,9,UDI
941,9,PS
942,9,UDI
944,9,UDI
945,9,UDI
946,9,RN
947,9,DC
949,9,RN
950,9,IND
951,9,UDI
952,9,RN
954,9,UDI
955,9,UDI
956,9,PC
957,9,DC
958,9,PPD
959,9,UDI
963,9,DC
967,9,UDI
968,9,PS
969,9,DC
970,9,UDI
971,9,IND
972,9,PCS
973,9,PC
974,9,PPD
975,9,PS
976,9,UDI
977,9,DC
978,9,UDI
979,9,DC
980,9,PPD
981,9,PS
982,9,DC
983,9,IND
984,9,RN
985,9,UDI
986,9,PR
987,9,RD
988,9,EVOP
989,9,UDI
990,9,PS
991,9,PL
992,9,DC
993,9,PC
994,9,RN
995,9,RN
996,9,DC
997,9,IND
998,9,DC
999,9,RN
1000,9,PS
1001,9,PS
1002,9,PS
1003,9,IND
1004,9,PS
1005,9,UDI
1006,9,PC
1007,9,PPD
177,10,PPD
802,10,PS
811,10,UDI
813,10,RN
819,10,PPD
836,10,PR
837,10,PS
839,10,PPD
843,10,RN
846,10,AMPL
848,10,PPD
850,10,UDI
854,10,PPD
855,10,PR
856,10,PPD
857,10,UDI
860,10,DC
862,10,IND
865,10,UDI
866,10,IND
867,10,RN
868,10,RN
869,10,PS
874,10,UDI
875,10,UDI
876,10,PPD
877,10,DC
879,10,DC
880,10,PS
883,10,PS
885,10,PR
888,10,PR
891,10,RN
893,10,DC
897,10,DC
898,10,DC
902,10,PPD
905,10,UDI
906,10,UDI
908,10,UDI
911,10,DC
913,10,DC
915,10,RN
919,10,UDI
920,10,PS
923,10,UDI
924,10,PS
925,10,IND
927,10,IND
929,10,PPD
930,10,PC
931,10,PS
933,10,DC
934,10,DC
935,10,RN
936,10,PPD
937,10,PC
939,10,UDI
940,10,UDI
941,10,PS
942,10,UDI
944,10,UDI
945,10,UDI
946,10,RN
947,10,DC
949,10,RN
950,10,IND
951,10,UDI
952,10,RN
954,10,UDI
955,10,UDI
956,10,PC
957,10,DC
958,10,PPD
959,10,UDI
963,10,DC
967,10,UDI
968,10,PS
969,10,DC
970,10,UDI
971,10,IND
972,10,PCS
973,10,PC
974,10,PPD
975,10,PS
976,10,UDI
977,10,DC
978,10,UDI
979,10,DC
980,10,PPD
981,10,PS
982,10,DC
983,10,IND
984,10,RN
985,10,UDI
986,10,PR
987,10,RD
988,10,EVOP
989,10,UDI
990,10,PS
992,10,DC
993,10,PC
994,10,RN
995,10,RN
996,10,DC
997,10,IND
998,10,DC
999,10,RN
1000,10,PS
1001,10,PS
1002,10,PS
1003,10,IND
1004,10,PS
1005,10,UDI
1006,10,PC
1007,10,PPD
177,11,PPD
802,11,PS
811,11,UDI
813,11,RN
819,11,PPD
836,11,PR
837,11,PS
839,11,PPD
843,11,RN
846,11,AMPL
848,11,PPD
850,11,UDI
854,11,PPD
855,11,PR
856,11,PPD
857,11,UDI
860,11,DC
862,11,IND
865,11,UDI
866,11,IND
867,11,RN
868,11,RN
869,11,PS
874,11,UDI
875,11,UDI
876,11,PPD
877,11,DC
879,11,DC
880,11,PS
883,11,PS
885,11,PR
888,11,PR
891,11,RN
893,11,DC
897,11,DC
898,11,DC
902,11,PPD
905,11,UDI
906,11,UDI
908,11,UDI
911,11,DC
913,11,DC
915,11,RN
919,11,UDI
920,11,PS
923,11,UDI
924,11,PS
925,11,IND
927,11,IND
929,11,PPD
930,11,PC
931,11,PS
933,11,DC
934,11,DC
935,11,RN
936,11,PPD
937,11,PC
938,11,UDI
939,11,UDI
940,11,UDI
941,11,PS
942,11,UDI
944,11,UDI
945,11,UDI
946,11,RN
947,11,DC
948,11,IND
949,11,RN
950,11,IND
951,11,UDI
952,11,RN
954,11,UDI
955,11,UDI
956,11,PC
957,11,DC
958,11,PPD
959,11,UDI
963,11,DC
967,11,UDI
968,11,PS
969,11,DC
970,11,UDI
971,11,IND
972,11,PCS
973,11,PC
974,11,PPD
975,11,PS
976,11,UDI
977,11,DC
978,11,UDI
979,11,DC
980,11,PPD
981,11,PS
982,11,DC
983,11,IND
984,11,RN
985,11,UDI
986,11,PR
987,11,RD
988,11,EVOP
989,11,UDI
990,11,PS
991,11,PL
992,11,DC
993,11,PC
994,11,RN
995,11,RN
996,11,DC
997,11,IND
998,11,DC
999,11,RN
1000,11,PS
1001,11,PS
1002,11,PS
1003,11,IND
1004,11,PS
1005,11,UDI
1006,11,PC
1007,11,PPD
177,12,PPD
802,12,PS
811,12,UDI
813,12,RN
819,12,PPD
836,12,PR
837,12,PS
839,12,PPD
843,12,RN
846,12,AMPL
848,12,PPD
850,12,UDI
854,12,PPD
855,12,PR
856,12,PPD
857,12,UDI
860,12,DC
862,12,IND
865,12,UDI
866,12,IND
867,12,RN
868,12,RN
869,12,PS
874,12,UDI
875,12,UDI
876,12,PPD
877,12,DC
879,12,DC
880,12,PS
883,12,PS
885,12,PR
888,12,PR
891,12,RN
893,12,DC
897,12,DC
898,12,DC
902,12,PPD
905,12,UDI
906,12,UDI
908,12,UDI
911,12,DC
913,12,DC
915,12,RN
919,12,UDI
920,12,PS
923,12,UDI
924,12,PS
925,12,IND
927,12,IND
929,12,PPD
930,12,PC
931,12,PS
933,12,DC
934,12,DC
935,12,RN
936,12,PPD
937,12,PC
938,12,UDI
939,12,UDI
940,12,UDI
941,12,PS
942,12,UDI
944,12,UDI
945,12,UDI
946,12,RN
947,12,DC
948,12,IND
949,12,RN
950,12,IND
951,12,UDI
952,12,RN
954,12,UDI
955,12,UDI
956,12,PC
957,12,DC
958,12,PPD
959,12,UDI
963,12,DC
967,12,UDI
968,12,PS
969,12,DC
970,12,UDI
971,12,IND
972,12,PCS
973,12,PC
974,12,PPD
975,12,PS
976,12,UDI
977,12,DC
978,12,UDI
979,12,DC
980,12,PPD
981,12,PS
982,12,DC
983,12,IND
984,12,RN
985,12,UDI
986,12,PR
987,12,RD
988,12,EVOP
989,12,UDI
990,12,PS
991,12,PL
992,12,DC
993,12,PC
994,12,RN
995,12,RN
996,12,DC
997,12,IND
998,12,DC
999,12,RN
1000,12,PS
1001,12,PS
1002,12,PS
1003,12,IND
1004,12,PS
1005,12,UDI
1006,12,PC
1007,12,PPD
74,13,PS
172,13,RN
660,13,DC
803,13,IND
810,13,DC
811,13,UDI
815,13,UDI
827,13,PS
837,13,PS
848,13,PPD
850,13,UDI
855,13,PR
856,13,PPD
862,13,DC
865,13,UDI
869,13,PS
875,13,UDI
879,13,DC
885,13,PR
893,13,DC
897,13,PRI
898,13,DC
908,13,IND
917,13,UDI
920,13,PS
923,13,UDI
925,13,IND
926,13,UDI
931,13,PS
936,13,PPD
937,13,PC
942,13,UDI
945,13,UDI
946,13,RN
949,13,RN
950,13,IND
952,13,RN
953,13,RN
956,13,PC
957,13,DC
959,13,UDI
961,13,IND
963,13,DC
967,13,UDI
970,13,UDI
971,13,RN
972,13,IND
973,13,PC
974,13,PPD
975,13,PS
976,13,UDI
981,13,PS
982,13,DC
985,13,UDI
986,13,PR
987,13,RD
989,13,UDI
991,13,LIBERAL
993,13,PC
995,13,RN
999,13,RN
1000,13,PS
1001,13,PS
1002,13,PS
1005,13,UDI
1006,13,PC
1008,13,PH
1009,13,UDI
1010,13,EVOP
1012,13,PC
1013,13,LIBERAL
1014,13,IND
1015,13,RD
1016,13,DC
1017,13,UDI
1018,13,RD
1019,13,RN
1020,13,PPD
1021,13,RN
1022,13,RN
1023,13,RD
1024,13,EVOP
1025,13,RN
1026,13,RN
1027,13,RN
1028,13,RN
1029,13,RN
1030,13,RN
1031,13,UDI
1032,13,RN
1033,13,RD
1034,13,PEV
1035,13,PC
1036,13,PH
1037,13,IND
1038,13,PS
1039,13,PH
1040,13,RN
1041,13,EVOP
1042,13,EVOP
1043,13,PC
1044,13,PS
1045,13,RN
1047,13,RN
1048,13,PPD
1049,13,PR
1050,13,RN
1051,13,COMUNES
1052,13,EVOP
1053,13,UDI
1054,13,RN
1055,13,UDI
1056,13,PS
1057,13,IND
1058,13,RD
1059,13,RN
1060,13,RN
1062,13,DC
1063,13,RD
1064,13,IND
1065,13,UDI
1066,13,UDI
1067,13,RN
1068,13,IGUAL
1069,13,RN
1070,13,IND
1071,13,PS
1072,13,UDI
1073,13,PS
1074,13,PC
1075,13,RN
1076,13,PR
1077,13,DC
1078,13,PS
1079,13,RN
1081,13,EVOP
1082,13,RN
1083,13,FRVS
1084,13,DC
1085,13,RD
1086,13,IND
1087,13,PCS
74,14,PS
172,14,RN
660,14,DC
803,14,IND
810,14,DC
811,14,UDI
815,14,UDI
827,14,PS
837,14,PS
843,14,RN
848,14,PPD
850,14,UDI
855,14,PR
856,14,PPD
862,14,DC
865,14,UDI
866,14,PR
869,14,PS
872,14,DC
875,14,UDI
879,14,DC
885,14,PR
893,14,DC
897,14,PRI
898,14,DC
908,14,IND
913,14,DC
917,14,UDI
920,14,PS
923,14,UDI
925,14,IND
926,14,UDI
931,14,PS
936,14,PPD
937,14,PC
940,14,UDI
942,14,UDI
945,14,UDI
946,14,RN
949,14,RN
950,14,IND
952,14,RN
953,14,RN
956,14,PC
957,14,DC
959,14,UDI
961,14,IND
963,14,DC
967,14,UDI
968,14,PS
970,14,UDI
971,14,RN
972,14,IND
973,14,PC
974,14,PPD
975,14,PS
976,14,UDI
981,14,PS
982,14,DC
984,14,RN
985,14,UDI
986,14,PR
987,14,RD
989,14,UDI
991,14,LIBERAL
993,14,PC
994,14,RN
995,14,RN
999,14,RN
1000,14,PS
1001,14,PS
1002,14,PS
1003,14,UDI
1005,14,UDI
1006,14,PC
1008,14,PH
1009,14,UDI
1010,14,EVOP
1011,14,UDI
1012,14,PC
1013,14,LIBERAL
1014,14,IND
1015,14,RD
1016,14,DC
1017,14,UDI
1018,14,RD
1019,14,RN
1020,14,PPD
1021,14,RN
1022,14,RN
1023,14,RD
1024,14,EVOP
1025,14,RN
1026,14,RN
1027,14,RN
1028,14,RN
1029,14,RN
1030,14,RN
1031,14,UDI
1032,14,RN
1033,14,RD
1034,14,PEV
1035,14,PC
1036,14,PH
1037,14,IND
1038,14,PS
1039,14,PH
1040,14,RN
1041,14,EVOP
1042,14,EVOP
1043,14,PC
1044,14,PS
1045,14,RN
1046,14,RN
1047,14,RN
1048,14,PPD
1049,14,PR
1050,14,RN
1051,14,COMUNES
1052,14,EVOP
1053,14,UDI
1054,14,RN
1055,14,UDI
1056,14,PS
1057,14,IND
1058,14,RD
1059,14,RN
1060,14,RN
1061,14,PPD
1062,14,DC
1063,14,RD
1064,14,IND
1065,14,UDI
1066,14,UDI
1067,14,RN
1068,14,COMUNES
1069,14,RN
1070,14,IND
1071,14,PS
1072,14,UDI
1073,14,PS
1074,14,PC
1075,14,RN
1076,14,PR
1077,14,DC
1078,14,PS
1079,14,RN
1080,14,UDI
1081,14,EVOP
1082,14,RN
1083,14,FRVS
1084,14,DC
1085,14,RD
1086,14,IND
1087,14,PCS
74,15,PS
172,15,RN
660,15,DC
803,15,IND
810,15,DC
811,15,UDI
815,15,UDI
827,15,PS
837,15,PS
843,15,RN
848,15,PPD
850,15,UDI
855,15,PR
856,15,PPD
862,15,DC
865,15,UDI
866,15,PR
869,15,PS
872,15,DC
875,15,UDI
879,15,DC
885,15,PR
893,15,DC
897,15,PRI
898,15,DC
908,15,IND
913,15,DC
917,15,UDI
920,15,PS
923,15,UDI
925,15,IND
926,15,UDI
931,15,PS
936,15,PPD
937,15,PC
940,15,UDI
942,15,UDI
945,15,UDI
946,15,RN
949,15,RN
950,15,IND
952,15,RN
953,15,RN
956,15,PC
957,15,DC
959,15,UDI
961,15,IND
963,15,DC
967,15,UDI
968,15,PS
970,15,UDI
971,15,RN
972,15,IND
973,15,PC
974,15,PPD
975,15,PS
976,15,UDI
981,15,PS
982,15,DC
984,15,RN
985,15,UDI
986,15,PR
987,15,RD
989,15,UDI
991,15,LIBERAL
993,15,PC
994,15,RN
995,15,RN
999,15,RN
1000,15,PS
1001,15,PS
1002,15,PS
1003,15,UDI
1005,15,UDI
1006,15,PC
1008,15,PH
1009,15,UDI
1010,15,EVOP
1011,15,UDI
1012,15,PC
1013,15,LIBERAL
1014,15,IND
1015,15,RD
1016,15,DC
1017,15,UDI
1018,15,RD
1019,15,RN
1020,15,PPD
1021,15,RN
1022,15,RN
1023,15,RD
1024,15,EVOP
1025,15,RN
1026,15,RN
1027,15,RN
1028,15,RN
1029,15,RN
1030,15,RN
1031,15,UDI
1032,15,RN
1033,15,RD
1034,15,PEV
1035,15,PC
1036,15,PH
1037,15,IND
1038,15,PS
1039,15,PH
1040,15,RN
1041,15,EVOP
1042,15,EVOP
1043,15,PC
1044,15,PS
1045,15,RN
1046,15,RN
1047,15,RN
1048,15,PPD
1049,15,PR
1050,15,RN
1051,15,COMUNES
1052,15,EVOP
1053,15,UDI
1054,15,RN
1055,15,UDI
1056,15,PS
1057,15,IND
1058,15,RD
1059,15,RN
1060,15,RN
1061,15,PPD
