replicate,delta1,delta2,determinant
48,0.9416622545342411,0.9548423714727043,0.9999999999999999
49,0.9412705936033567,0.925827111200761,0.9999999999999998
50,0.951323334620609,0.9286838166713942,1.0000000000000002
51,0.9484564956060443,0.942487176795478,1.0
52,0.9530753164010494,0.8886969905220257,1.0000000000000004
53,0.9666802274850881,0.9406706069320129,0.9999999999999994
54,0.9608371504227221,0.9149160027732686,1.0000000000000002
55,0.9453231087088805,0.9149916565459544,1.0000000000000009
56,0.955752003449363,0.9228444697356287,1.000000000000001
57,0.9428247855794797,0.9423115831339038,1.0000000000000004
58,0.9569203461085417,0.9071642616187964,0.9999999999999999
59,0.9432442419920327,0.927029039166503,1.0000000000000004
60,0.950870725717811,0.920021681830511,0.9999999999999997
61,0.9566685429780444,0.9086037112840435,0.9999999999999992
62,0.953157523562662,0.9424894949823096,1.0000000000000002
63,0.9535685393037786,0.9541525835379226,1.0000000000000007
64,0.9515724207691871,0.9540572765729491,1.0
65,0.9518402763594512,0.9196043070344985,0.9999999999999997
66,0.9616796748695078,0.9237542968638643,1.0000000000000007
67,0.9547647829676769,0.904278181812543,1.0000000000000004
68,0.960961054676701,0.9424465086700605,1.0
69,0.9610883938851216,0.9331837091176208,1.0000000000000002
70,0.9549757747470333,0.9351138015388717,1.0
71,0.953661573969433,0.9308121048436371,1.0
72,0.9328777314775644,0.9383866286625996,0.9999999999999996
73,0.9453417608302275,0.9299771703522306,1.0
74,0.9588445510391005,0.9382265518722691,1.0000000000000007
75,0.9492837256424321,0.9248883853718962,1.0000000000000004
76,0.9532334606364629,0.9131163112355091,0.9999999999999997
77,0.9582447849783781,0.920936068971823,1.0
78,0.9663362485879136,0.9196835040093578,0.9999999999999999
79,0.9544921435917698,0.9138066147220154,1.0
80,0.9419507596338601,0.9431177006045909,1.0
81,0.9473325303328387,0.9483541632482977,1.0000000000000004
82,0.9445219559079867,0.9280385354287478,0.9999999999999993
83,0.9548299571580352,0.9216004588464286,0.9999999999999997
84,0.9572464914716646,0.9312355279169943,1.0000000000000004
85,0.9516929971945831,0.9209975844924227,0.9999999999999998
86,0.9489078576189454,0.9611041681596356,1.0
87,0.9626427276188042,0.9490020919829202,1.0000000000000004
88,0.9520811084382991,0.9446169081926707,1.0000000000000002
89,0.956157702731992,0.9194552855904504,0.9999999999999994
90,0.9404637794927159,0.9122278326008902,1.0
91,0.9653143723325224,0.9325907508614301,1.0
92,0.9402234868618558,0.9253894216506972,1.0000000000000007
93,0.9495406516082983,0.9169522569742382,0.9999999999999994
94,0.9556458906503295,0.9348537112205724,1.0000000000000004
95,0.9551885959324931,0.9354571076814333,-1.0000000000000002
96,0.9399916417247036,0.9355808451802331,0.9999999999999999
97,0.9614751660400445,0.9303026819290492,1.0
98,0.9477814098844105,0.9107062985367931,1.0
99,0.9476031266277699,0.9390697443209599,0.9999999999999994
100,0.9545964969116739,0.905558737181791,0.9999999999999998
101,0.9454653421452305,0.9394773817250845,1.0
102,0.9385204700209229,0.9342989599716512,1.0
103,0.9530930004745256,0.9375822067724456,0.9999999999999994
104,0.946654265379023,0.9150299946165705,0.9999999999999992
105,0.9479840962255903,0.8985335263755407,1.0000000000000002
106,0.948954717876121,0.9312614414772167,1.000000000000001
107,0.9515689055514095,0.9381241746961703,1.0
108,0.9451040137854199,0.9496076244067386,0.9999999999999997
109,0.9467277501180889,0.9291639011406094,0.9999999999999997
110,0.9436086072870274,0.9399322107804264,0.9999999999999998
111,0.9486911593018155,0.9300645177588961,1.0
112,0.9613651275101703,0.9020261737162735,0.9999999999999999
113,0.9514678475409863,0.940023024878082,1.0000000000000004
114,0.947513882818291,0.9374671278333048,1.0000000000000002
115,0.9497018459322472,0.9525879234458186,1.0
116,0.9444657578404322,0.9465198250332334,1.0
117,0.9614256643988431,0.9374824855966174,0.9999999999999999
118,0.9390790042509104,0.9217435107264861,0.9999999999999999
