party,target,boot_mean_orth,boot_se_orth,observed_orth,bias_orth,boot_mean_scaled,boot_se_scaled,observed_scaled,bias_scaled,bias_ratio_scaled_over_orth,se_ratio_scaled_over_orth
PPD,P3,-0.6657556390170002,0.02561245517840191,-0.586585825929438,-0.07916981308756221,-0.6333952540424005,0.024473568546538364,-0.586585825929438,-0.046809428112962514,0.5912534877553778,0.9555338750646627
PR,P1,-0.36459676470231145,0.008967913491176194,-0.3271884119416925,-0.037408352760618935,-0.34687253527253487,0.00852718802731194,-0.3271884119416925,-0.01968412333084235,0.5261959396288763,0.9508552949024434
PR,P2,-0.3045423663208634,0.01128347535739991,-0.2547398780288735,-0.04980248829198991,-0.2897471205165219,0.010983354627938919,-0.2547398780288735,-0.035007242487648416,0.7029215544894547,0.9734017472494265
PR,P3,-0.2184785026611416,0.01719198887097771,-0.15820876853474,-0.0602697341264016,-0.2078792773528494,0.01662445548450244,-0.15820876853474,-0.04967050881810939,0.824136849748452,0.9669884973324211
PREP,P3,0.880466697083085,0.04054361116580618,0.935099888835597,-0.05463319175251202,0.8376366662610333,0.0379458925232113,0.935099888835597,-0.09746322257456375,1.7839562260259563,0.9359277931121796
PRI,P1,-0.7264077851536682,0.012107785944150755,-0.679344307863165,-0.0470634772905032,-0.6911036356239094,0.01202117517488956,-0.679344307863165,-0.011759327760744398,0.24986100555551766,0.9928466881013008
PRI,P2,-0.7114597751038153,0.01615718305619838,-0.653324480320846,-0.058135294782969305,-0.6768868176730198,0.015931894394825497,-0.653324480320846,-0.023562337352173834,0.4053017610065754,0.9860564393812165
PRI,P3,-0.6915290950373447,0.02337649254854355,-0.618631376931088,-0.07289771810625667,-0.657931060405167,0.02278618220240286,-0.618631376931088,-0.03929968347407897,0.5391071832563433,0.9747476938674674
PRO,P2,-0.8616999398215347,0.01902558773009455,-0.803800199481086,-0.05789974034044865,-0.8198110625087908,0.018169837736964515,-0.803800199481086,-0.016010863027704714,0.27652737185972415,0.9550211007791146
PRO,P3,-0.8956703170985437,0.03629763204678827,-0.81455792409354,-0.08111239300500372,-0.8521336122059057,0.03467442714288354,-0.81455792409354,-0.03757568811236567,0.46325458687980847,0.9552806942939861
PS,P1,-0.6515820118333014,0.009371236944554143,-0.5997767314616416,-0.05180528037165988,-0.6199022739668137,0.008600393196930251,-0.5997767314616416,-0.020125542505172178,0.3884843853906034,0.9177436498314293
PS,P2,-0.6483886144961514,0.011066546225114333,-0.5837667744180115,-0.06462184007813987,-0.6168710397082803,0.010672804322405551,-0.5837667744180115,-0.033104265290268775,0.5122767357017308,0.9644205251847023
PS,P3,-0.6413658222234128,0.0158277590374111,-0.562420165026505,-0.07894565719690771,-0.6102066670056525,0.01583486190957916,-0.562420165026505,-0.04778650197914747,0.6053088121105572,1.0004487604436783
RD,P1,-0.7657658251651543,0.011129637669754588,-0.717691539937673,-0.04807428522748136,-0.7285432598922554,0.010832386855677618,-0.717691539937673,-0.01085171995458245,0.22572816014286018,0.9732919594602109
RD,P2,-0.7697688581596587,0.01242790897640356,-0.7127977462359025,-0.056971111923756146,-0.7323558297984865,0.012286565933350889,-0.7127977462359025,-0.019558083562583928,0.3432982594539898,0.9886269650573533
RD,P3,-0.7677268778900306,0.02064272685598714,-0.687406900714163,-0.08031997717586759,-0.730413821587964,0.019943273671966993,-0.687406900714163,-0.04300692087380098,0.5354448841492271,0.966116240896862
RN,P1,0.6749051658747153,0.014158928356746822,0.6509953458151335,0.023909820059581754,0.6420597983204368,0.011607036529479763,0.6509953458151335,-0.008935547494696716,-0.373718726131351,0.8197680104758023
RN,P2,0.6449889689772464,0.014116742452070948,0.6493236729265071,-0.00433470394926061,0.6135951325032266,0.0115063005180186,0.6493236729265071,-0.03572854042328044,8.24244073909011,0.8150818474647887
RN,P3,0.5903657747511942,0.02176194091087871,0.636548997692603,-0.04618322294140875,0.5616297435478602,0.01968483990155402,0.636548997692603,-0.07491925414474276,1.6222179694949082,0.9045535038519311
UDI,P1,0.7116497866656754,0.014318055727799432,0.6876353935543025,0.024014393111372878,0.6770153700398298,0.011513893104867997,0.6876353935543025,-0.010620023514472665,-0.4422357652437684,0.8041519968743401
UDI,P2,0.6907638639566109,0.01869514726336465,0.670801850884319,0.01996201307229195,0.6571473294870188,0.016375921713814787,0.670801850884319,-0.013654521397300168,-0.6840252707906085,0.8759450505054508
UDI,P3,0.6860787846461498,0.024850202151304446,0.700220918161659,-0.014142133515509192,0.6526877033505716,0.022528709800418746,0.700220918161659,-0.04753321481108741,3.3611063535045376,0.9065805446269241
