legislator_id,served_periods,effective_model,beta0_dim1,beta0_dim2,beta1_dim1,beta1_dim2,beta2_dim1,beta2_dim2,beta3_dim1,beta3_dim2,intercept_radius
14440,4,0,0.843305191270363,-0.214189131166839,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.870080817817258
14503,5,1,-0.531182797109224,0.220091363255911,0.025694470207433,0.057545895907919,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.574974236052907
14506,2,0,-0.307337993764051,0.136869972451863,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.336437262754716
14651,5,1,0.612259499448601,0.022068155516001,-0.033438943244895,-0.022358059317031,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.612657080390760
14661,2,0,0.022117929275187,0.137697167817661,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.139462227217363
14709,3,0,0.858865922800558,-0.072460298163826,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.861917146921933
14806,3,0,-0.578867242251357,0.195337809076157,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.610937102987177
14812,1,0,0.725177521448068,0.100064901407451,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.732048783966783
14826,1,0,-0.387205682394442,0.130859116843327,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.408720379892612
14852,5,1,-0.752391546556472,-0.094564103127193,0.147733673431815,0.009135652188398,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.758310892002673
14858,5,1,0.830454435750317,-0.129122671954754,-0.024787230271332,0.145067861531699,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.840432766061695
14871,5,1,0.845987607427576,0.136692095553453,0.015884795397615,0.064609295278365,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.856959602844749
14910,1,0,-0.173541181640033,-0.253602481811216,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.307295884296922
14912,2,0,0.686004996338409,-0.441537836499397,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.815817697811115
14914,3,0,0.922910035613497,-0.180063615300665,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.940311565063013
14920,3,0,0.751750595262912,-0.259984369001185,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.795437508295332
14921,5,1,-0.672299270655432,-0.185551698796075,0.029321852301201,-0.323950572366218,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.697435116874634
14922,3,0,0.760571804445121,-0.257999965481997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.803139746187187
15011,4,0,0.879797213918285,0.047476333222371,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.881077260990555
15015,5,1,0.622643111020167,0.017982680642672,-0.046572148534158,-0.028923740893679,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.622902737595500
15021,5,1,0.833771681128136,-0.075918230702633,-0.065115890689415,0.165315434077548,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.837220875279789
15039,5,1,-0.496113052966373,0.359764125079449,0.026267089393155,0.044545443239355,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.612828187192624
15054,4,0,0.879722033424194,0.093277657897241,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.884653365762429
15406,1,0,-0.965294547679064,0.261163619635415,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
15408,5,1,0.845209154112573,-0.095252280034968,-0.113071357629884,0.016430966075731,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.850559528221012
15424,5,1,-0.786944309717686,0.007941542435474,0.008766250207149,-0.178528205452014,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.786984380209226
15425,3,0,0.710270120123018,-0.279472548828243,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.763274884355644
