"coord1D","coord2D","legislator_id","legislator_name","party"
0.521102011203766,0.17427185177803,29345,"",""
-0.906550943851471,-0.132513910531998,29373,"",""
0.322027832269669,-0.177986085414886,29386,"",""
-0.990206182003021,0.0668349415063858,29389,"",""
0.553654909133911,0.264335870742798,29512,"",""
0.480132520198822,-0.261919677257538,29523,"",""
0.427833706140518,-0.280610799789429,29534,"",""
0.585553467273712,0.449710994958878,29537,"",""
0.579678416252136,0.461277723312378,29548,"",""
0.921427011489868,0.388551384210587,29555,"",""
0.455299615859985,0.252135962247849,29566,"",""
0.343571066856384,-0.389690369367599,29722,"",""
-0.88032066822052,-0.257078766822815,29732,"",""
0.277179449796677,-0.960818111896515,29735,"",""
0.564153552055359,0.172401309013367,29754,"",""
-0.723189771175385,0.260959029197693,29906,"",""
0.494869917631149,0.120742775499821,29909,"",""
0.52299964427948,0.30296590924263,29918,"",""
-0.906433045864105,0.115708865225315,29924,"",""
0.560716569423676,0.328597098588943,29935,"",""
0.898252129554749,0.439480423927307,29936,"",""
-0.929522216320038,0.320113778114319,29940,"",""
-0.773298144340515,0.00748577062040567,39310,"",""
-0.280387163162231,-0.845724821090698,40103,"",""
0,0,40105,"",""
0.135205656290054,-0.425747811794281,40300,"",""
-0.653215646743774,-0.485667824745178,40301,"",""
0.226221844553947,-0.694775760173798,40304,"",""
0.631351470947266,0.244342684745789,40305,"",""
0,0,40500,"",""
0.219042047858238,0.192684158682823,40501,"",""
-0.681375205516815,0.186518833041191,40700,"",""
-0.572918355464935,0.819612443447113,40701,"",""
-0.691761910915375,-0.179405376315117,40702,"",""
-0.855201959609985,-0.192404180765152,40703,"",""
-0.999825358390808,-0.0186842698603868,40704,"",""
0.347786366939545,-0.156257033348083,40705,"",""
-0.591178834438324,-0.0934246182441711,40706,"",""
0.578123390674591,0.18082121014595,40707,"",""
-0.731083154678345,-0.103312350809574,40900,"",""
-0.931416392326355,0.0758051127195358,40901,"",""
0.530813872814178,0.160165995359421,40902,"",""
-0.992144048213959,-0.12510097026825,40903,"",""
-0.999847590923309,0.0146685782819986,40904,"",""
0.436057269573212,0.112508036196232,40905,"",""
-0.827537357807159,-0.0128488391637802,40906,"",""
-0.687508046627045,-0.213617697358131,40907,"",""
-0.90981113910675,0.306045651435852,40908,"",""
-0.719143092632294,-0.00124927260912955,40909,"",""
-0.689653992652893,0.291788429021835,40910,"",""
0.344769686460495,0.293873727321625,40911,"",""
-0.980798006057739,-0.195026382803917,40912,"",""
0.098364420235157,0.207423016428947,40913,"",""
-0.996042132377625,-0.0888825729489326,40914,"",""
-0.509312152862549,-0.860581755638123,40915,"",""
-0.908200979232788,-0.418534278869629,40916,"",""
-0.952148079872131,0.147374972701073,41101,"",""
0.545238077640533,0.259134650230408,41102,"",""
0.780844330787659,0.624725639820099,41104,"",""
0.417717576026917,0.128900647163391,41106,"",""
0.133105605840683,-0.991101920604706,41107,"",""
0.791727304458618,0.610874533653259,41110,"",""
0.626549422740936,0.339199066162109,41111,"",""
-0.945353388786316,0.326047480106354,41112,"",""
-0.618582308292389,0.403383821249008,41300,"",""
-0.995160043239594,-0.0982678905129433,41301,"",""
0.760084211826324,0.351828336715698,41302,"",""
-0.567455530166626,-0.395496755838394,41303,"",""
0.943019926548004,-0.332736104726791,41304,"",""
-0.69950807094574,0.137857764959335,41305,"",""
-0.817294001579285,0.535803973674774,41306,"",""
0.555530726909637,0.139920741319656,41307,"",""
-0.972810924053192,-0.231600672006607,41308,"",""
-0.684450745582581,-0.308451384305954,41309,"",""
0.714288473129272,-0.157457560300827,41500,"",""
0.810891091823578,-0.103812113404274,41501,"",""
0.741795063018799,0.263323873281479,41502,"",""
0.937221825122833,-0.348733901977539,41503,"",""
0.655402004718781,0.626039147377014,41504,"",""
0.612779378890991,0.640931248664856,41505,"",""
-0.677013278007507,0.0462538525462151,41700,"",""
-0.93739527463913,0.341029763221741,41701,"",""
-0.547549903392792,-0.239505797624588,41702,"",""
0.850194573402405,0.142994791269302,41703,"",""
0.874634504318237,0.0502010844647884,41704,"",""
-0.218063101172447,-0.215806216001511,41705,"",""
-0.672295391559601,-0.0650367066264153,41706,"",""
0.793016672134399,-0.154111579060555,41707,"",""
-0.940120577812195,-0.340842068195343,4812,"",""
-0.891462445259094,-0.00736341718584299,49300,"",""
0.406149119138718,0.0112077305093408,49306,"",""
0.287737399339676,-0.712462604045868,49307,"",""
-0.856380760669708,-0.188421204686165,49308,"",""
-0.564314305782318,0.825560033321381,49309,"",""
0.604633808135986,0.120473146438599,49700,"",""
-0.725474238395691,-0.547872722148895,49702,"",""
-0.0756951496005058,0.0806482881307602,49703,"",""
0.569848477840424,0.279069185256958,49706,"",""
-0.419444143772125,0.758568108081818,49901,"",""
-0.00862683914601803,-0.566381335258484,49903,"",""
0.397606760263443,-0.618679285049438,94659,"",""
-0.859946489334106,0.0897456854581833,94910,"",""
