party,target,period,n,median_d1,q25,q75,replicate
PRI,P3,24,1,-0.7123931726023193,-0.7123931726023193,-0.7123931726023193,94
PRO,P2,20,1,-0.8591815164357743,-0.8591815164357743,-0.8591815164357743,94
PRO,P3,24,1,-0.8786461052348399,-0.8786461052348399,-0.8786461052348399,94
PS,P1,17,18,-0.667011724588745,-0.6870143520587414,-0.6290090361935987,94
PS,P2,20,18,-0.656185611823934,-0.6856211459312396,-0.6314001747323255,94
PS,P3,24,18,-0.6654539273768127,-0.6777953069887237,-0.6149776659546475,94
RD,P1,17,8,-0.7685707999857885,-0.783261714126104,-0.7444586389057407,94
RD,P2,20,10,-0.7696462812908602,-0.8024575009193398,-0.7615897395817225,94
RD,P3,24,10,-0.7691617545594129,-0.7954403248104147,-0.7515297477043443,94
RN,P1,17,34,0.6904975614177383,0.6216532396404973,0.7300242039919029,94
RN,P2,20,36,0.6394206643096652,0.5724186611907931,0.6891790616820752,94
RN,P3,24,33,0.5548855588548417,0.4836950033029821,0.6342309297813724,94
UDI,P1,17,30,0.6917026282848906,0.629217796297942,0.766307705512771,94
UDI,P2,20,31,0.6481523897475542,0.6046674570410079,0.7856078968688531,94
UDI,P3,24,30,0.6455264275897659,0.5444899604931612,0.7821745799860053,94
COMUNES,P1,17,2,-0.8773740698956105,-0.889510208172241,-0.86523793161898,95
COMUNES,P2,20,1,-0.8664325061340208,-0.8664325061340208,-0.8664325061340208,95
COMUNES,P3,24,1,-0.8194807190475526,-0.8194807190475526,-0.8194807190475526,95
DC,P1,17,15,-0.16601876003772442,-0.30203144176291585,-0.07969740272226497,95
DC,P2,20,14,-0.17233919573341205,-0.2476907763483294,-0.017020436761593673,95
DC,P3,24,14,-0.1548627989768949,-0.21179322264539402,0.04695743412301259,95
EVOP,P1,17,6,0.658241689419091,0.6012097260378492,0.7213204972858857,95
EVOP,P2,20,6,0.6468312679318251,0.5816679807752585,0.6889456073087112,95
EVOP,P3,24,6,0.5927090641057388,0.49380778595913855,0.6706620577132911,95
FRVS,P1,17,1,-0.7368311767114235,-0.7368311767114235,-0.7368311767114235,95
FRVS,P2,20,1,-0.6876950445679497,-0.6876950445679497,-0.6876950445679497,95
FRVS,P3,24,1,-0.6221802017099832,-0.6221802017099832,-0.6221802017099832,95
IND,P1,17,13,-0.5952328220837716,-0.8463147831270822,-0.18285555308452017,95
IND,P2,20,11,-0.561403373594678,-0.6553705494265334,-0.10577146690680159,95
IND,P3,24,11,-0.712841964910769,-0.8092749059992408,-0.013762253845186076,95
LIBERAL,P1,17,2,-0.6962124720588503,-0.7229112556244471,-0.6695136884932533,95
LIBERAL,P2,20,2,-0.6645833280714333,-0.6986553737503471,-0.6305112823925193,95
LIBERAL,P3,24,2,-0.6224111360882102,-0.6663141979182134,-0.5785080742582069,95
PC,P1,17,8,-0.8577414428241232,-0.8689631971082672,-0.8452316902966535,95
PC,P2,20,8,-0.860306750205008,-0.8731920240072297,-0.8454181304896656,95
PC,P3,24,8,-0.8758744126638519,-0.8813980165323299,-0.8540478283535672,95
PCS,P2,20,2,-0.8318957645190512,-0.8367747655967094,-0.827016763441393,95
PCS,P3,24,1,-0.8305306210310105,-0.8305306210310105,-0.8305306210310105,95
PEV,P1,17,1,-0.9249124804429877,-0.9249124804429877,-0.9249124804429877,95
PEV,P2,20,1,-0.927301539094665,-0.927301539094665,-0.927301539094665,95
PEV,P3,24,1,-0.9304869506302356,-0.9304869506302356,-0.9304869506302356,95
PH,P1,17,3,-0.9252432193546029,-0.947030853996641,-0.9212101296997071,95
PH,P2,20,2,-0.9405286043716066,-0.9508595110878068,-0.9301976976554063,95
PH,P3,24,2,-0.9662865706008054,-0.9930807460418698,-0.9394923951597409,95
PPD,P1,17,6,-0.6360482494838995,-0.7094520732331168,-0.5895423709194099,95
