party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,bootstrap_mean_delta,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,p_two_sided,p_monte_carlo_se,p_holm,direction
PR,P1,P3,6,6,-0.3271884119416925,-0.15820876853474,0.1689796434069525,200,0.14611826204116987,-0.02286138136578264,0.013186898567747978,0.12153042002998635,0.17268144662776658,0.16527784018613845,0.21642886678391868,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
PR,P2,P3,6,6,-0.2547398780288735,-0.15820876853474,0.09653110949413349,200,0.08606386365972182,-0.010467245834411665,0.007179274733998845,0.07267402202197189,0.0989371527914516,0.09412506619681538,0.12038819696629509,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
PRI,P1,P2,1,1,-0.679344307863165,-0.653324480320846,0.02601982754231902,200,0.0149480100498529,-0.011071817492466118,0.006533374620089241,0.0023586603848395208,0.028923955336578846,0.02311569974805919,0.04968099469979852,0.014925373134328358,0.008552619211607247,0.582089552238806,right
PRI,P1,P3,1,1,-0.679344307863165,-0.618631376931088,0.06071293093207697,200,0.03487869011632341,-0.025834240815753556,0.01524454078020818,0.005503540897958197,0.06748922911868453,0.05393663274546941,0.11592232096619574,0.014925373134328358,0.008552619211607247,0.582089552238806,right
PRI,P2,P3,1,1,-0.653324480320846,-0.618631376931088,0.03469310338975795,200,0.019930680066470516,-0.014762423323287435,0.008711166160118938,0.003144880513118676,0.03856527378210568,0.03082093299741022,0.06624132626639723,0.014925373134328358,0.008552619211607247,0.582089552238806,right
PRO,P2,P3,1,1,-0.803800199481086,-0.81455792409354,-0.010757724612453945,200,-0.033970377277009,-0.023212652664555057,0.024762359881580025,-0.07968741705757494,0.01202700935780038,-0.03354245858270827,0.05817196783266705,0.7711442786069652,0.029631298178359782,1.0,inconclusive
PS,P1,P2,18,18,-0.5997767314616416,-0.5837667744180115,0.016009957043630063,200,0.0031933973371501886,-0.012816559706479875,0.007316056941281459,-0.010162435102269588,0.016407860380060556,0.01561205370719957,0.04218234918952971,0.3283582089552239,0.033124151773008474,1.0,inconclusive
PS,P1,P3,18,18,-0.5997767314616416,-0.562420165026505,0.03735656643513652,200,0.010216189609888779,-0.02714037682524774,0.013047349395145506,-0.01710385763973382,0.035466615117488304,0.03924651775278473,0.09181699051000686,0.23880597014925373,0.03007268795845169,1.0,inconclusive
PS,P2,P3,18,18,-0.5837667744180115,-0.562420165026505,0.021346609391506455,200,0.00702279227273859,-0.014323817118767864,0.008618050785992917,-0.009281441744020522,0.022448732951428296,0.020244485831584613,0.05197466052703343,0.23383084577114427,0.029854871294071095,1.0,inconclusive
RD,P1,P2,8,10,-0.717691539937673,-0.7127977462359025,0.004893793701770455,200,-0.0040030329945044164,-0.008896826696274871,0.010943556570301697,-0.028401315957537608,0.014173067976547845,-0.004385480573006936,0.03818890336107852,0.7263681592039801,0.03144587520100564,1.0,inconclusive
RD,P1,P3,8,10,-0.717691539937673,-0.687406900714163,0.03028463922350999,200,-0.0019610527248762,-0.03224569194838619,0.021548134216608863,-0.050835371476474545,0.04232856754623558,0.0182407109007844,0.11140464992349453,0.5174129353233831,0.03524588749754601,1.0,inconclusive
RD,P2,P3,10,10,-0.7127977462359025,-0.687406900714163,0.025390845521739536,200,0.002041980269628216,-0.02334886525211132,0.01454551350483699,-0.025979597271443944,0.03209575849594669,0.018685932547532383,0.07676128831492302,0.4079601990049751,0.03466461018341531,1.0,inconclusive
RN,P1,P2,34,36,0.6509953458151335,0.6493236729265071,-0.0016716728886264631,200,-0.029916196897468817,-0.028244524008842354,0.012738228124627084,-0.05242494760846786,-0.004794843711415158,0.0014514979341622315,0.04908160183121493,0.9850746268656716,0.00855261921160726,1.0,left
RN,P1,P3,34,33,0.6509953458151335,0.636548997692603,-0.014446348122530539,200,-0.08453939112352113,-0.07009304300099059,0.022351982101335745,-0.12215548685395916,-0.04257732861884018,0.0136846323737791,0.09326279060889808,0.9950248756218906,0.004962733015460849,1.0,left
RN,P2,P3,36,33,0.6493236729265071,0.636548997692603,-0.012774675233904076,200,-0.05462319422605231,-0.04184851899214823,0.014697457857317136,-0.08456520024869504,-0.029848274788952488,0.004298924321144336,0.05901584978088689,0.9800995024875622,0.009850743768468265,1.0,left
UDI,P1,P2,30,31,0.6876353935543025,0.670801850884319,-0.016833542669983492,200,-0.02088592270906446,-0.004052380039080969,0.01593875911075282,-0.051735104003517426,0.00783223001969302,-0.041499315359660005,0.018068018663550442,0.30845771144278605,0.032576855295846044,1.0,inconclusive
UDI,P1,P3,30,30,0.6876353935543025,0.700220918161659,0.012585524607356513,200,-0.025571002019525446,-0.03815652662688196,0.022897170850027675,-0.06931881034982411,0.015942119019523346,0.00922893019518968,0.09448985956453713,0.8855721393034826,0.02245328211145968,1.0,inconclusive
UDI,P2,P3,31,30,0.670801850884319,0.700220918161659,0.029419067277340005,200,-0.004685079310460983,-0.03410414658780099,0.017392548900210233,-0.04062812076790974,0.026841651892255777,0.03199648266242423,0.09946625532258975,0.6069651741293532,0.034450805038177164,1.0,inconclusive
