replicate,log_likelihood,beta,w2,classification_pct,valid_votes,iterations,converged,final_ll_improvement,elapsed_seconds,which,seconds_seeds,seconds_engine
17,-64975.54754185087,4.739794788132508,0.525392742627041,93.7673,436666.0,4.0,0.0,739.315358355234,129.46,replicate,243.9,129.7
18,-64975.0538208565,4.703039981992817,0.529079144720399,93.7543,436412.0,4.0,0.0,801.90037129214,130.35,replicate,244.9,130.5
19,-64454.92046205428,4.830933672511463,0.527539756085376,93.7786,436783.0,4.0,0.0,601.159564507747,128.91,replicate,246.3,129.1
20,-64302.84043076749,4.844968366166998,0.529478114200258,93.8164,437170.0,4.0,0.0,618.222306738448,128.28,replicate,247.6,128.5
21,-64598.88287963897,4.791807307469852,0.534870147155407,93.7774,435010.0,4.0,0.0,624.2513682637,130.19,replicate,242.3,130.4
22,-64368.659704239,4.851477200531204,0.528260684437196,93.8503,436512.0,4.0,0.0,577.87071546982,131.97,replicate,243.6,132.2
23,-64452.253985556694,4.818750202944168,0.52870894376648,93.8007,436276.0,4.0,0.0,641.198872307294,131.18,replicate,243.9,131.4
24,-64457.31788989908,4.805248609949672,0.531062354743256,93.8347,436865.0,4.0,0.0,729.46706881826,133.06,replicate,247.4,133.3
25,-64593.93122284783,4.745196349086713,0.533419431983868,93.7765,435979.0,4.0,0.0,782.757019516153,135.35,replicate,241.5,135.6
26,-65121.483542706796,4.778409299106207,0.531727818910046,93.7189,435880.0,4.0,0.0,480.654043506504,133.36,replicate,242.5,133.6
27,-65002.111674985164,4.783354902770774,0.533252136982141,93.7944,436715.0,4.0,0.0,642.704892306021,134.09,replicate,245.2,134.3
28,-64841.66789346824,4.774018333906562,0.527448091423314,93.7886,436760.0,4.0,0.0,887.0296169309,134.31,replicate,246.0,134.5
29,-64359.25178006683,4.796020826089031,0.532535751182066,93.8249,436271.0,4.0,0.0,727.955465403858,135.0,replicate,246.7,135.2
30,-64302.28004357621,4.744265478551937,0.535262308725424,93.8302,435765.0,4.0,0.0,795.310574280229,136.07,replicate,242.9,136.3
31,-65080.52409687978,4.708169282174615,0.532511704683288,93.7669,436121.0,4.0,0.0,619.663514052234,135.06,replicate,239.6,135.3
32,-64763.88830129285,4.720090041703619,0.531698639335099,93.8283,436669.0,4.0,0.0,676.352231672419,133.33,replicate,241.3,133.5
33,-64777.05254104159,4.672807092139375,0.528834230482744,93.7449,435264.0,4.0,0.0,913.569343883806,143.94,replicate,247.3,144.2
34,-64476.77488839927,4.817413200439732,0.528685371929224,93.8437,436772.0,4.0,0.0,676.84627408797,145.63,replicate,240.4,145.9
35,-64666.91445927877,4.794417764922675,0.531607748680986,93.7908,435677.0,4.0,0.0,724.945564140275,144.95,replicate,244.9,145.2
36,-64578.72147811598,4.738511414186032,0.531230143538351,93.8282,437135.0,4.0,0.0,812.580812530316,144.42,replicate,240.4,144.6
37,-64367.66439359108,4.759497478513872,0.531409965729553,93.8535,437207.0,4.0,0.0,834.368454619129,135.13,replicate,243.9,135.4
38,-64805.94257389392,4.798512658015491,0.529408552749186,93.7749,436766.0,4.0,0.0,653.086569878156,136.07,replicate,242.2,136.3
39,-64122.09772630488,4.847686996060033,0.532233659126366,93.8794,436771.0,4.0,0.0,776.87147377104,135.61,replicate,245.5,135.8
40,-64311.835068731634,4.844344574429287,0.526282963536928,93.8217,435716.0,4.0,0.0,590.07735405265,135.33,replicate,244.5,135.6
41,-64426.12993092909,4.767086211808262,0.532706520111028,93.8406,435642.0,4.0,0.0,845.254895231614,134.33,replicate,243.0,134.6
42,-64465.89927097863,4.789503893589854,0.526414326687642,93.8246,436685.0,4.0,0.0,777.27007813067,132.5,replicate,245.1,132.7
43,-65495.94148129738,4.650171257710356,0.533322778999969,93.741,435869.0,4.0,0.0,597.62210379271,130.97,replicate,249.4,131.2
44,-64893.421525210935,4.718974904016316,0.53065979084956,93.8332,436321.0,4.0,0.0,746.6036328712,131.08,replicate,245.3,131.3
45,-64517.73867323795,4.789420496565095,0.53704340335676,93.8112,436869.0,4.0,0.0,796.643163264242,130.38,replicate,237.4,130.6
46,-64138.72154268466,4.80900425602792,0.528490611566778,93.8269,436588.0,4.0,0.0,690.07571780587,130.86,replicate,240.7,131.1
47,-63863.516524488216,4.832032098915999,0.525318465605098,93.8833,436317.0,4.0,0.0,627.700985830379,131.23,replicate,241.2,131.4
48,-64024.20543759772,4.825818958951067,0.535389323238665,93.8797,436414.0,4.0,0.0,681.321651648526,131.63,replicate,239.7,131.8
49,-64471.583912824906,4.82881275287632,0.525466400878208,93.7783,436249.0,4.0,0.0,824.088988450065,129.56,replicate,234.7,129.8
50,-64454.83283124927,4.765311764672822,0.529332586094722,93.8324,435746.0,4.0,0.0,732.370187551787,130.48,replicate,239.9,130.7
51,-64589.77485445324,4.83658319433447,0.528413832998961,93.8078,436921.0,4.0,0.0,807.471495934798,129.62,replicate,236.6,129.8
52,-65055.70035392038,4.683997384607481,0.523862043425838,93.7838,436312.0,4.0,0.0,703.235587780837,129.72,replicate,239.8,129.9
53,-64264.10563012877,4.762139406486535,0.534722519798484,93.8386,436264.0,4.0,0.0,683.265110067579,130.29,replicate,241.8,130.5
54,-64592.66920431308,4.756887181096931,0.532384347571582,93.7919,435397.0,4.0,0.0,697.650327230273,129.53,replicate,239.3,129.7
55,-64768.51265058766,4.727602974837565,0.531521927653919,93.7788,435654.0,4.0,0.0,714.394355222059,129.85,replicate,239.1,130.1
56,-64248.89585699061,4.830368797646,0.52821244165278,93.8427,436162.0,4.0,0.0,416.719923010365,129.68,replicate,240.0,129.9
57,-65173.354991072454,4.77597713812712,0.531601138062377,93.7463,436124.0,4.0,0.0,717.461119390631,136.26,replicate,241.8,136.6
58,-64777.75240392265,4.667111958377137,0.532650167423022,93.8815,437719.0,4.0,0.0,729.643372567756,137.45,replicate,243.3,137.7
59,-64013.55762967701,4.803396716272014,0.534269678564748,93.8373,435477.0,4.0,0.0,638.853239467673,137.41,replicate,241.5,137.6
60,-64672.14534523976,4.736450719991963,0.525619096041967,93.7867,434600.0,4.0,0.0,656.771004694267,135.89,replicate,238.2,136.1
61,-64705.9610095045,4.696021142547708,0.526294640247355,93.802,435799.0,4.0,0.0,726.412577586154,147.15,replicate,253.8,147.4
62,-64037.26514796892,4.827023670226518,0.529070006842628,93.7975,436195.0,4.0,0.0,898.075079570131,147.11,replicate,256.7,147.5
63,-64811.83497805376,4.769245246692068,0.539918200393977,93.7617,435633.0,4.0,0.0,714.450561034071,146.69,replicate,254.9,146.9
64,-64096.30301443999,4.800180186052334,0.531663578470068,93.8453,436070.0,4.0,0.0,638.750536971726,146.89,replicate,253.9,147.2
65,-64928.21174154306,4.792597619843857,0.525774354681355,93.8101,436697.0,4.0,0.0,524.031471446287,135.54,replicate,249.2,135.8
66,-64411.37323107601,4.685984155518518,0.525503796929105,93.7716,435409.0,4.0,0.0,827.006018033695,134.61,replicate,244.7,134.8
67,-64886.938212032976,4.732044627309639,0.528264805727223,93.7839,436673.0,4.0,0.0,618.444981535649,135.09,replicate,244.6,135.3
68,-64625.19262082235,4.775069623028728,0.523303758976141,93.8044,436603.0,4.0,0.0,655.627470314219,134.85,replicate,247.3,135.1
69,-64126.059564597446,4.804130267434864,0.530393191369539,93.8527,436386.0,4.0,0.0,777.056889361549,140.91,replicate,239.9,141.2
70,-64582.56206737097,4.768229149075847,0.535290378525256,93.8245,436891.0,4.0,0.0,782.088527933949,141.47,replicate,242.4,141.7
71,-64417.46929193927,4.778566660445266,0.531578822910007,93.8148,436252.0,4.0,0.0,762.074019144478,140.8,replicate,244.9,141.0
72,-64763.46008387192,4.774358065479785,0.535968885297727,93.7497,435448.0,4.0,0.0,770.734981205758,140.02,replicate,243.0,140.2
73,-64264.38488753727,4.856123970827425,0.528066493468257,93.8221,436895.0,4.0,0.0,679.090123352413,166.9,replicate,269.6,167.2
74,-64821.05759754294,4.75226885083598,0.536238925185699,93.7823,436991.0,4.0,0.0,781.651332642999,163.47,replicate,267.5,163.7
75,-64286.43054719541,4.760632094403499,0.524465295666678,93.7983,436814.0,4.0,0.0,793.215021962205,164.04,replicate,267.0,164.3
76,-64511.86118612091,4.719910111598565,0.528480884455847,93.8094,435952.0,4.0,0.0,757.559208933497,164.26,replicate,269.2,164.5
77,-64799.93649774861,4.733240830408329,0.527136719252659,93.7618,436793.0,4.0,0.0,861.40806149038,165.53,replicate,279.4,165.8
78,-64859.787447394505,4.724520992070519,0.531685699386194,93.7843,436297.0,4.0,0.0,759.867771039171,165.72,replicate,279.3,166.0
79,-64263.387124985056,4.796225110023216,0.528052472219442,93.7644,435851.0,4.0,0.0,728.954549343092,166.25,replicate,275.5,166.5
80,-64584.339575869686,4.825370003035971,0.533927225228746,93.7945,436932.0,4.0,0.0,773.95604044167,165.94,replicate,280.9,166.2
81,-64423.38990559621,4.836153754398389,0.531704611394038,93.8137,435962.0,4.0,0.0,714.205439600912,140.09,replicate,274.3,140.3
82,-64174.31377431953,4.784194933801569,0.529703770481748,93.9311,437379.0,4.0,0.0,697.945135666407,142.34,replicate,278.2,142.6
83,-64823.75445693306,4.823267544573255,0.529063382958184,93.8077,436557.0,4.0,0.0,639.984459669999,138.24,replicate,277.4,138.4
84,-64779.108839360444,4.742233320214732,0.528564161854356,93.791,436143.0,4.0,0.0,726.249769180555,137.22,replicate,278.0,137.4
85,-64439.8790621962,4.786410951260047,0.533052816098547,93.8058,436601.0,4.0,0.0,905.857025497797,171.29,replicate,277.2,171.6
86,-64631.66539402684,4.84680959182687,0.536462327834253,93.7737,436650.0,4.0,0.0,798.757236905512,171.06,replicate,274.4,171.3
87,-64403.20149210841,4.79661832213224,0.532503992386929,93.8364,437405.0,4.0,0.0,742.120237362549,170.49,replicate,280.5,170.8
88,-65282.9214980929,4.743201954110158,0.532802443105751,93.7679,437028.0,4.0,0.0,618.42028077483,170.4,replicate,276.9,170.7
89,-64289.36693610053,4.768277878452053,0.534305999260847,93.8381,434980.0,4.0,0.0,788.076600376226,173.99,replicate,293.3,174.3
90,-64505.11428413648,4.773407053256111,0.527284396106628,93.7821,435145.0,4.0,0.0,731.855433281817,173.76,replicate,289.4,174.1
91,-64390.87826620895,4.736590742722587,0.53309374050289,93.825,436586.0,4.0,0.0,807.175922588118,175.7,replicate,292.0,176.0
92,-64765.06564536632,4.764947319384191,0.529292502618585,93.7685,436813.0,4.0,0.0,706.124081374284,174.25,replicate,288.0,174.5
93,-64980.851648636955,4.697945910550003,0.529195281358339,93.7752,436879.0,4.0,0.0,578.568393330723,171.88,replicate,296.0,172.2
94,-64569.5134091553,4.804075864881573,0.53020562909493,93.7766,436035.0,4.0,0.0,845.511504278511,172.83,replicate,289.2,173.1
95,-64594.68485444563,4.710673721637732,0.524537801914031,93.8108,434758.0,4.0,0.0,778.911398882527,170.43,replicate,293.6,170.7
96,-65431.24096079883,4.688491572459058,0.536980518399763,93.7563,437338.0,4.0,0.0,804.943736839086,171.15,replicate,295.2,171.4
97,-64870.512719516795,4.757515870135564,0.532411551206124,93.798,436598.0,4.0,0.0,719.015225359333,182.09,replicate,296.1,182.4
98,-64359.575571356814,4.812839802603502,0.530288241918756,93.7989,436403.0,4.0,0.0,709.673004327211,180.45,replicate,296.8,180.8
99,-64227.750209671016,4.847425961714402,0.534105789519524,93.8416,436366.0,4.0,0.0,649.5374408317,181.36,replicate,296.6,181.7
100,-64035.83068215422,4.747806727823153,0.530708318421159,93.8513,437312.0,4.0,0.0,921.173152095616,181.93,replicate,300.8,182.2
101,-64764.87416667785,4.764898232633308,0.530890392178957,93.7838,435429.0,4.0,0.0,739.440826985185,181.94,replicate,294.9,182.2
102,-64438.21144420096,4.825559484069378,0.534502854511551,93.7894,434614.0,4.0,0.0,595.68551008471,181.94,replicate,299.9,182.2
