replicate,anchor_rows,determinant,rotation_degrees,alignment_rmse
34,3265.0,0.9999999999999994,2.0745781668360626,0.10190952599313251
35,3265.0,1.0000000000000002,0.2693539780302337,0.10022307248187927
36,3265.0,0.9999999999999996,2.348300409703387,0.10096440006248486
37,3265.0,1.0000000000000009,0.9473431565276632,0.09496575417180908
38,3265.0,1.0000000000000004,1.9191803279471686,0.1020884598213126
39,3265.0,1.0000000000000004,2.1705965823213145,0.09809506027715874
40,3265.0,0.9999999999999996,1.4337003915229893,0.1038121885366725
41,3265.0,0.9999999999999992,2.2717096046172482,0.10859998952265436
42,3265.0,1.0000000000000009,1.1267390682166314,0.11067565528716818
43,3265.0,0.9999999999999989,1.6945878993627994,0.1120489065785097
44,3265.0,1.0000000000000004,2.546127476827162,0.11171053219957934
45,3265.0,0.9999999999999999,2.0077161528924545,0.0989740876209865
46,3265.0,1.0000000000000002,0.6476673733210478,0.10137248720016599
47,3265.0,1.0,2.126950212197368,0.09966644825557529
48,3265.0,0.9999999999999999,1.6029642561615343,0.10446372963172225
49,3265.0,0.9999999999999998,1.4357584226118056,0.10704437859114124
50,3265.0,1.0000000000000002,1.3733498653105498,0.10436210830501828
51,3265.0,1.0,1.6546037981219235,0.09915117082415068
52,3265.0,1.0000000000000004,1.4739468496480097,0.10851771955587325
53,3265.0,0.9999999999999994,2.05016358072632,0.09864522550520928
54,3265.0,1.0000000000000002,2.3786071566456486,0.107710796227978
55,3265.0,1.0000000000000009,1.575802998763083,0.10607325504281008
56,3265.0,1.000000000000001,0.4538720656285913,0.10590598025293657
57,3265.0,1.0000000000000004,1.6489671759011573,0.10865891203319444
58,3265.0,0.9999999999999999,1.4392281478451985,0.10973071729433866
59,3265.0,1.0000000000000004,2.0005935151722296,0.09902669151058405
60,3265.0,0.9999999999999997,1.5131773802107427,0.11318329654158416
61,3265.0,0.9999999999999992,1.7160081502139597,0.11234107499539975
62,3265.0,1.0000000000000002,1.7335464974225028,0.10558271419528382
63,3265.0,1.0000000000000007,1.7511265700830736,0.10304308062534201
64,3265.0,1.0,1.4697039312186144,0.10351402662122193
65,3265.0,0.9999999999999997,1.8323376476677447,0.10711364718533627
66,3265.0,1.0000000000000007,1.1260696442983984,0.1073189397745578
67,3265.0,1.0000000000000004,1.1267046292448042,0.10971981546341075
68,3265.0,1.0,2.44783057273694,0.10595869581026
69,3265.0,1.0000000000000002,1.9743514878517794,0.09718881449223994
70,3265.0,1.0,2.0346598184606592,0.10727661491046747
71,3265.0,1.0,1.5955451982670188,0.09987847520193278
72,3265.0,0.9999999999999996,0.7195514964811515,0.10541060537432442
73,3265.0,1.0,1.7242632268013198,0.10141677908958846
74,3265.0,1.0000000000000007,1.6662175396527235,0.10643160500527936
75,3265.0,1.0000000000000004,1.2357789926946128,0.10811348340285049
76,3265.0,0.9999999999999997,2.079405046070336,0.1102713980438556
77,3265.0,1.0,1.5014784700912407,0.10518093423921546
78,3265.0,0.9999999999999999,1.2244659089383043,0.1046753771309899
79,3265.0,1.0,1.623639835478939,0.10458965528699882
