party,target,period,n,observed_median_d1,q25,q75,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
IND,P2,20,11,-0.505481288078154,-0.6036900747091465,-0.0630737405037865,200,-0.5593909832949524,-0.05390969521679845,0.01687390333870115,-0.5917931428610447,-0.5261181233854729,-0.484844452770835,-0.41916943329526324
IND,P3,24,11,-0.646605803283654,-0.6963785180611465,0.0492984428971375,200,-0.7066922657170208,-0.060086462433366794,0.032243221763997326,-0.764368646053167,-0.6442441777465319,-0.6489674288207762,-0.528842960514141
LIBERAL,P1,17,2,-0.6528740998960305,-0.6669702783782963,-0.6387779214137648,200,-0.6948089847428517,-0.041934884846821174,0.0136434098729231,-0.7166346016978881,-0.6715627294933162,-0.6341854702987448,-0.589113598094173
LIBERAL,P2,20,2,-0.587224246865672,-0.6100442895823,-0.564404204149044,200,-0.6439550308099965,-0.056730783944324514,0.016169395905520776,-0.6707865928323525,-0.6135847473117719,-0.560863746419572,-0.5036619008989914
LIBERAL,P3,24,2,-0.49969110949186096,-0.534142971187639,-0.46523924779608294,200,-0.5761497588995228,-0.07645864940766184,0.024496938595016025,-0.6195872958765732,-0.5295795478572637,-0.46980267112645824,-0.3797949231071487
PC,P1,17,8,-0.7993144026531745,-0.8080318408361823,-0.794496777926201,200,-0.8473714853791471,-0.04805708272597253,0.010093550872892017,-0.8672224217688235,-0.8279716668282182,-0.7706571384781309,-0.7314063835375256
PC,P2,20,8,-0.7936357390698935,-0.8058307372380971,-0.7861245162710953,200,-0.8537431014831839,-0.0601073624132904,0.012193846726322947,-0.8795741202318362,-0.8309249183724742,-0.7563465597673128,-0.7076973579079507
PC,P3,24,8,-0.7832173384037211,-0.8088398360901323,-0.7697285932323505,200,-0.8587750490206904,-0.07555771061696925,0.01906590977639824,-0.892918861236129,-0.8210541637791637,-0.7453805130282785,-0.6735158155713132
PCS,P2,20,2,-0.764990857940143,-0.7650858139135666,-0.7648959019667194,200,-0.8214602293849876,-0.05646937144484465,0.0216744845933915,-0.8532322772172475,-0.7794142537733894,-0.7505674621068966,-0.6767494386630385
PCS,P3,24,1,-0.713814951146788,-0.713814951146788,-0.713814951146788,200,-0.797996321865576,-0.08418137071878806,0.04159655692695312,-0.8714683739910343,-0.7276455635005639,-0.699984338793012,-0.5561615283025416
PEV,P1,17,1,-0.888423120259268,-0.888423120259268,-0.888423120259268,200,-0.9181141114546169,-0.029690991195348904,0.030726970623852025,-0.9537313762031716,-0.88385869598063,-0.8929875445379059,-0.8231148643153643
PEV,P2,20,1,-0.881805325554176,-0.881805325554176,-0.881805325554176,200,-0.9202232926419817,-0.03841796708780565,0.028819971547479013,-0.9526477079176998,-0.8854580850508075,-0.8781525660575445,-0.8109629431906522
PEV,P3,24,1,-0.87298159928072,-0.87298159928072,-0.87298159928072,200,-0.9230355342251346,-0.05005393494441457,0.03731104486059162,-0.9777476943285409,-0.8704022959371291,-0.875560902624311,-0.7682155042328992
PH,P1,17,3,-0.906039592307048,-0.9173043603608719,-0.9009676205759725,200,-0.9362776106247628,-0.030238018317714777,0.01729376681035272,-0.9680076515793948,-0.9084080944026663,-0.9036710902114297,-0.8440715330347012
PH,P2,20,2,-0.8861299463954535,-0.8967610214555808,-0.8754988713353262,200,-0.925321324763475,-0.039191378368021446,0.01360028302077621,-0.9519788248917377,-0.8996815129630081,-0.8725783798278989,-0.8202810678991693
PH,P3,24,2,-0.8663463808214285,-0.8945335371157758,-0.8381592245270812,200,-0.9226617080328652,-0.05631532721143673,0.026352042933412836,-0.9747349592739022,-0.8775358495765035,-0.8551569120663534,-0.7579578023689547
PPD,P1,17,6,-0.5639099759450675,-0.650212687014242,-0.546586211509247,200,-0.6172702589578498,-0.053360283012782284,0.01013632613387965,-0.6360951113686654,-0.5966276907361355,-0.5311922611539995,-0.4917248405214697
PPD,P2,20,7,-0.539437361584271,-0.6221488949548231,-0.5227575976983025,200,-0.6059566655467662,-0.06651930396249517,0.013381837548667572,-0.632934997638835,-0.578506120297735,-0.5003686028708071,-0.44593972552970707
PPD,P3,24,7,-0.586585825929438,-0.646597374499108,-0.5381485116794145,200,-0.6657556390170002,-0.07916981308756221,0.025612455178401893,-0.7133191686446058,-0.6176876040180683,-0.5554840478408076,-0.4598524832142702
PR,P1,17,6,-0.3271884119416925,-0.4357844349952308,-0.21851708619982652,200,-0.36459676470231145,-0.037408352760618935,0.00896791349117619,-0.3829181815459938,-0.3456579532175218,-0.30871887066586323,-0.27145864233739125
PR,P2,20,6,-0.2547398780288735,-0.420968091485464,-0.10944999642630299,200,-0.3045423663208634,-0.04980248829198991,0.011283475357399899,-0.32435204007267204,-0.2793812430786462,-0.23009851297910078,-0.18512771598507494
PR,P3,24,6,-0.15820876853474,-0.40221110683009653,0.03703786568567375,200,-0.21847850266114158,-0.060269734126401575,0.017191988870977712,-0.2482718614646169,-0.18214807712123682,-0.13426945994824319,-0.06814567560486309
PREP,P3,24,1,0.935099888835597,0.935099888835597,0.935099888835597,200,0.880466697083085,-0.05463319175251202,0.04054361116580623,0.7985927691277503,0.9505624051738876,0.9196373724973065,1.0716070085434437
PRI,P1,17,1,-0.679344307863165,-0.679344307863165,-0.679344307863165,200,-0.726407785153668,-0.047063477290502975,0.012107785944150748,-0.7506865142571139,-0.7023408862961303,-0.6563477294301997,-0.6080021014692162
PRI,P2,20,1,-0.653324480320846,-0.653324480320846,-0.653324480320846,200,-0.7114597751038153,-0.058135294782969305,0.01615718305619839,-0.7422663027511124,-0.6812169385876194,-0.6254320220540726,-0.5643826578905796
PRI,P3,24,1,-0.618631376931088,-0.618631376931088,-0.618631376931088,200,-0.6915290950373447,-0.07289771810625667,0.023376492548543546,-0.7352519154171333,-0.6448276776255555,-0.5924350762366206,-0.5020108384450428
