party,pair,n_a,n_b,median_a,median_b,observed_delta,bootstrap_se,normal_lo,normal_hi,normal_excl0,sign_consist,percentile_ci_lower,percentile_ci_upper,p_two_sided,p_holm
RN,P1->P3,34,33,0.6509953458151335,0.636548997692603,-0.0144463481225305,0.0223519821013357,-0.05825623304114848,0.029363536796087473,incl 0,200/20,-0.1221554868539591,-0.0425773286188401,0.9950248756218906,1.0
UDI,P1->P3,30,30,0.6876353935543025,0.700220918161659,0.0125855246073565,0.0228971708500276,-0.032292930258697596,0.057463979473410594,incl 0,175/20,-0.0693188103498241,0.0159421190195233,0.8855721393034826,1.0
PC,P1->P3,8,8,-0.7993144026531745,-0.7832173384037211,0.0160970642494534,0.015356927477201,-0.01400251360586056,0.04619664210476736,incl 0,153/20,-0.0421390286822071,0.0163930982054616,0.7661691542288557,1.0
RD,P1->P3,8,10,-0.717691539937673,-0.687406900714163,0.0302846392235099,0.0215481342166088,-0.011949703841043345,0.07251898228806314,incl 0,103/20,-0.0508353714764745,0.0423285675462355,0.5174129353233831,1.0
PS,P1->P3,18,18,-0.5997767314616416,-0.562420165026505,0.0373565664351365,0.0130473493951455,0.011783761620651319,0.06292937124962167,RIGHT,153/20,-0.0171038576397338,0.0354666151174883,0.2388059701492537,1.0
DC,P1->P3,15,14,-0.183922449758638,-0.095715177969928,0.08820727178871,0.0177765578332794,0.053365218435482385,0.12304932514193762,RIGHT,197/20,0.0077835320181592,0.0733586756176844,0.0199004975124378,0.6965174129353233
EVOP,P1->P3,6,6,0.6458918157122835,0.7447161050215675,0.098824289309284,0.0427226076757368,0.01508797826483986,0.18256060035372812,RIGHT,168/20,-0.1132162622994494,0.0472279513160377,0.8407960199004975,1.0
PR,P1->P3,6,6,-0.3271884119416925,-0.15820876853474,0.1689796434069525,0.0131868985677479,0.14313332221416664,0.1948259645997384,RIGHT,200/20,0.1215304200299863,0.1726814466277665,0.0049751243781094,0.2487562189054726
IND,P2->P3,11,11,-0.505481288078154,-0.646605803283654,-0.1411245152055,0.0267938548061512,-0.19364047062555637,-0.08860855978544366,LEFT,200/20,-0.1914476578670608,-0.0908149805836272,0.0049751243781094,0.2487562189054726
PPD,P2->P3,7,7,-0.539437361584271,-0.586585825929438,-0.0471484643451669,0.023206131891531,-0.09263248285256767,-0.0016644458377661417,LEFT,200/20,-0.1054120025212016,-0.0170987159240462,0.0845771144278607,1.0
RN,P2->P3,36,33,0.6493236729265071,0.636548997692603,-0.012774675233904,0.0146974578573171,-0.041581692634245514,0.016032342166437515,incl 0,200/20,-0.084565200248695,-0.0298482747889524,0.9800995024875622,1.0
PC,P2->P3,8,8,-0.7936357390698935,-0.7832173384037211,0.0104184006661723,0.0110645310428283,-0.011268080177771169,0.03210488151011577,incl 0,140/20,-0.0255666788818826,0.0176264261649546,0.7064676616915423,1.0
PS,P2->P3,18,18,-0.5837667744180115,-0.562420165026505,0.0213466093915064,0.0086180507859929,0.004455229850960318,0.03823798893205248,RIGHT,154/20,-0.0092814417440205,0.0224487329514282,0.2338308457711442,1.0
RD,P2->P3,10,10,-0.7127977462359025,-0.687406900714163,0.0253908455217395,0.0145455135048369,-0.0031183609477408204,0.05390005199121982,incl 0,119/20,-0.0259795972714439,0.0320957584959466,0.4079601990049751,1.0
UDI,P2->P3,31,30,0.670801850884319,0.700220918161659,0.02941906727734,0.0173925489002102,-0.004670328567071988,0.06350846312175198,incl 0,120/20,-0.0406281207679097,0.0268416518922557,0.6069651741293532,1.0
DC,P2->P3,14,14,-0.1461147917295805,-0.095715177969928,0.0503996137596525,0.0131103143365459,0.02470339766002254,0.07609582985928247,RIGHT,198/20,0.0087851841009153,0.0566309407285149,0.0149253731343283,0.582089552238806
EVOP,P2->P3,6,6,0.681520841543355,0.7447161050215675,0.0631952634782124,0.0260864685932282,0.012065785035485131,0.11432474192093967,RIGHT,155/20,-0.0676531761634492,0.0270592073234153,0.7761194029850746,1.0
PR,P2->P3,6,6,-0.2547398780288735,-0.15820876853474,0.0965311094941334,0.0071792747339988,0.08245973101549575,0.11060248797277106,RIGHT,200/20,0.0726740220219718,0.0989371527914516,0.0049751243781094,0.2487562189054726
