871,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
872,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,1
873,9,1,1,1,9,1,1,1,9,1,9,1,1,1,1,9,1,1,1,1,9,9,9,9,9
874,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
875,9,6,6,1,1,1,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,6,1,1
876,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
877,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
878,9,1,1,1,6,9,1,9,9,1,1,1,1,1,6,9,1,1,9,1,1,1,1,1,1
879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,9,1,1,1,1,1,1,1
880,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
881,1,9,9,9,1,9,1,6,1,1,1,1,1,1,1,1,1,9,1,9,1,9,1,1,1
882,9,9,9,9,1,1,6,9,9,1,1,1,1,6,6,6,1,1,1,1,1,6,1,1,1
883,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
884,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,9,9,9
885,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,9,1,1,1,6,1,1,1
886,1,1,9,1,9,1,1,9,1,1,1,9,1,1,6,6,1,1,1,9,9,9,1,1,1
887,1,6,6,1,1,9,1,1,1,1,1,1,1,6,1,9,1,9,9,1,1,1,6,1,1
888,6,1,1,9,9,9,1,9,9,1,1,1,1,1,6,6,1,9,1,1,1,6,6,1,1
889,1,6,6,1,1,1,1,9,1,1,9,1,9,9,9,9,9,9,9,1,9,6,6,1,1
890,1,9,9,1,6,1,6,1,1,9,1,1,1,1,6,6,1,1,1,1,1,9,9,9,9
891,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
892,6,1,1,1,9,9,1,9,1,1,1,1,1,9,9,9,1,1,9,9,1,1,1,1,1
893,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
894,9,9,1,6,6,9,1,9,1,1,9,1,1,1,6,6,9,9,9,1,1,9,1,9,1
895,1,6,6,1,1,9,9,1,1,1,1,1,1,6,1,1,9,1,1,9,9,1,9,9,9
896,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
897,9,1,1,1,1,9,1,1,1,1,9,1,9,1,9,9,1,1,1,1,1,9,1,1,1
898,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
899,9,1,1,1,1,1,1,9,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1
900,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
901,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
902,9,9,1,1,1,9,1,1,9,1,9,9,1,1,6,9,1,9,9,9,1,1,9,9,9
903,9,1,1,1,1,9,1,9,1,1,1,1,1,1,6,6,1,1,9,9,1,6,1,1,1
904,1,1,1,1,9,1,1,1,9,9,1,1,1,1,1,9,9,9,1,1,1,6,1,1,1
905,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
906,9,6,1,1,1,9,1,9,9,1,1,1,9,9,9,9,9,9,1,9,1,1,6,1,1
907,9,6,1,1,1,1,1,9,1,9,9,9,1,9,9,9,9,9,1,9,1,1,9,9,9
