iteration,log_likelihood,w2,beta,delta_log_likelihood
41,-82654.544400147075,1.107884302042,19.432136143029,52.405385003905
42,-82603.685855164251,1.111415398047,19.840010207932,50.858544982824
43,-82575.154017841443,1.114907746011,20.000000000000,28.531837322807
44,-82551.844768878582,1.118372345211,20.000000000000,23.309248962862
45,-82536.634678602786,1.121799419833,20.000000000000,15.210090275796
46,-82520.873079660363,1.125212463955,20.000000000000,15.761598942423
47,-82503.490261532730,1.128606191877,20.000000000000,17.382818127633
48,-82490.138233342863,1.131998988600,20.000000000000,13.352028189867
49,-82478.204025116822,1.135367619885,20.000000000000,11.934208226041
50,-82466.794907665171,1.138723745244,20.000000000000,11.409117451651
51,-82455.311412286741,1.142048235920,20.000000000000,11.483495378430
52,-82441.876079796712,1.145360226495,20.000000000000,13.435332490029
53,-82428.245693021017,1.148640526360,20.000000000000,13.630386775694
54,-82411.922472260034,1.151895691917,20.000000000000,16.323220760984
55,-82391.201307754338,1.155133717026,20.000000000000,20.721164505696
56,-82368.321318088842,1.158337815267,20.000000000000,22.879989665496
57,-82357.308982154864,1.161522814692,20.000000000000,11.012335933978
58,-82347.174629445421,1.164689360336,20.000000000000,10.134352709443
59,-82337.611039812939,1.167844591208,20.000000000000,9.563589632482
60,-82328.295319232799,1.170980197336,20.000000000000,9.315720580140
61,-82317.180962163096,1.174096071913,20.000000000000,0.000000000000
62,-82297.580208193729,1.177187966419,20.000000000000,19.600753969367
63,-82289.050999781248,1.180262027001,20.000000000000,8.529208412481
64,-82280.366374729652,1.183320720991,20.000000000000,8.684625051596
65,-82267.763967127350,1.186355394208,20.000000000000,12.602407602302
66,-82259.730772060124,1.189373956830,20.000000000000,8.033195067226
67,-82246.734112130318,1.192373105718,20.000000000000,12.996659929806
68,-82238.593670819013,1.195349870311,20.000000000000,8.140441311305
69,-82230.320397985357,1.198302389845,20.000000000000,8.273272833656
70,-82222.672403872479,1.201242559589,20.000000000000,7.647994112878
71,-82215.498734516659,1.204174532532,20.000000000000,7.173669355820
72,-82208.459690294520,1.207086464361,20.000000000000,7.039044222140
73,-82198.052719888379,1.209970919004,20.000000000000,10.406970406140
74,-82191.055907199639,1.212853504350,20.000000000000,6.996812688740
75,-82184.257741484558,1.215720497424,20.000000000000,6.798165715081
76,-82177.537679149347,1.218568253886,20.000000000000,6.720062335211
77,-82170.775000218928,1.221393567196,20.000000000000,6.762678930419
78,-82159.555714814560,1.224205543640,20.000000000000,11.219285404368
79,-82153.258499832737,1.226999902335,20.000000000000,6.297214981823
80,-82147.138369847904,1.229768338713,20.000000000000,6.120129984833
81,-82141.112769839616,1.232526650486,20.000000000000,6.025600008288
82,-82134.923604940661,1.235268295598,20.000000000000,6.189164898955
83,-82129.171019008922,1.237978238516,20.000000000000,5.752585931739
84,-82123.399154168306,1.240668425118,20.000000000000,5.771864840615
85,-82117.808930903644,1.243350844290,20.000000000000,5.590223264662
86,-82112.327031642679,1.246012276943,20.000000000000,5.481899260965
87,-82106.387596552260,1.248655999069,20.000000000000,5.939435090419
88,-82100.750569727330,1.251284897099,20.000000000000,5.637026824930
89,-82095.156365995615,1.253887896655,20.000000000000,5.594203731715
90,-82089.886214396945,1.256484503860,20.000000000000,5.270151598670
91,-82084.706491548946,1.259066168678,20.000000000000,5.179722847999
92,-82079.601692139579,1.261629150088,20.000000000000,5.104799409368
93,-82074.190135267709,1.264185855310,20.000000000000,5.411556871870
94,-82069.223577107419,1.266718335114,20.000000000000,4.966558160289
95,-82063.891358571360,1.269235665273,20.000000000000,5.332218536059
96,-82058.896392725655,1.271743180043,20.000000000000,4.994965845704
97,-82054.215935483066,1.274234045271,20.000000000000,4.680457242590
98,-82047.315425490786,1.276710487720,20.000000000000,6.900509992280
