legislator_id,first_period,last_period,observed_period_count,parties_at_targets,in_full,in_balanced,in_stable,in_continuous,in_bridge
1079,1,12,12,RN,True,True,True,True,False
1080,2,12,11,UDI,True,True,True,False,False
1081,1,12,12,EVOP,True,True,True,True,False
1082,1,12,12,PREP|RN,True,True,False,False,False
1083,1,12,12,FRVS,True,True,True,True,False
1084,1,12,12,DC,True,True,True,True,False
1085,1,12,12,RD,True,True,True,True,False
1086,1,12,12,IND|RD,True,True,False,False,False
1087,1,12,12,IND|RD,True,True,False,False,False
1088,8,12,5,RN,True,False,False,False,False
1089,8,12,5,UDI,True,False,False,False,False
1090,8,12,5,RN,True,False,False,False,False
1091,10,12,3,PC,True,False,False,False,False
1092,10,12,3,RD,True,False,False,False,False
1093,10,12,3,PPD,True,False,False,False,False
1094,10,12,3,UDI,True,False,False,False,False
1095,11,12,2,UDI,True,False,False,False,False
172,1,12,12,RN,True,True,True,True,False
660,1,12,12,DC,True,True,True,True,False
74,1,12,12,PS,True,True,True,True,False
803,1,12,12,IND,True,True,True,True,False
810,1,12,12,DC,True,True,True,True,False
811,1,12,12,UDI,True,True,True,True,False
815,1,12,12,UDI,True,True,True,True,False
827,1,12,12,PS,True,True,True,True,False
837,1,12,12,PS,True,True,True,True,False
843,2,12,11,RN,True,True,True,False,False
848,1,12,12,PPD,True,True,True,True,False
850,1,12,12,UDI,True,True,True,True,False
855,1,12,12,PR,True,True,True,True,False
856,1,12,11,PPD,True,False,False,False,False
862,1,12,12,DC,True,True,True,True,False
865,1,10,10,UDI,True,False,False,False,False
866,2,12,11,PR,True,True,True,False,False
869,1,12,12,PS,True,True,True,True,False
872,2,12,11,DC,True,True,True,False,False
875,1,12,12,UDI,True,True,True,True,False
879,1,12,12,DC,True,True,True,True,False
885,1,12,12,PR,True,True,True,True,False
893,1,12,12,DC,True,True,True,True,False
897,1,12,12,PRI,True,True,True,True,False
898,1,12,12,DC,True,True,True,True,False
908,1,12,12,UDI,True,True,True,False,False
913,2,12,11,DC,True,True,True,False,False
917,1,12,12,UDI,True,True,True,True,False
920,1,12,12,PS,True,True,True,True,False
923,1,12,12,UDI,True,True,True,True,False
925,1,12,12,IND,True,True,True,True,False
926,1,12,12,UDI,True,True,True,True,False
931,1,12,12,PS,True,True,True,True,False
936,1,12,12,PPD,True,True,True,True,False
937,1,9,9,PC,True,False,False,False,False
940,2,12,11,UDI,True,True,True,False,False
942,1,12,12,UDI,True,True,True,True,False
945,1,12,12,UDI,True,True,True,True,False
946,1,12,12,RN,True,True,True,True,False
949,1,8,7,RN,True,False,False,False,False
950,1,12,12,IND,True,True,True,True,False
952,1,12,12,RN,True,True,True,True,False
953,1,12,12,RN,True,True,True,True,False
956,1,12,12,PC,True,True,True,True,False
957,1,12,12,DC,True,True,True,True,False
959,1,12,12,UDI,True,True,True,True,False
961,1,12,12,IND,True,True,True,True,False
963,1,12,12,DC,True,True,True,True,False
967,1,10,10,UDI,True,False,False,False,False
968,2,12,11,PS,True,True,True,False,False
970,1,8,8,UDI,True,False,False,False,False
971,1,12,12,RN,True,True,True,True,False
972,1,11,11,IND|PCS,True,False,False,False,False
973,1,12,12,PC,True,True,True,True,False
974,1,9,9,PPD,True,False,False,False,False
975,1,12,12,PS,True,True,True,True,False
976,1,12,12,UDI,True,True,True,True,False
981,1,12,12,PS,True,True,True,True,False
982,1,12,12,DC,True,True,True,True,False
984,2,12,11,RN,True,True,True,False,False
985,1,12,12,UDI,True,True,True,True,False
986,1,12,12,PR,True,True,True,True,False
987,1,12,12,RD,True,True,True,True,False
989,1,12,12,UDI,True,True,True,True,False
991,1,12,12,LIBERAL,True,True,True,True,False
993,1,12,12,PC,True,True,True,True,False
994,2,12,11,RN,True,True,True,False,False
995,1,12,12,RN,True,True,True,True,False
999,1,12,12,RN,True,True,True,True,False
