cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,enough_replicates,bootstrap_mean_delta,bootstrap_bias,absolute_bias_over_absolute_delta,bootstrap_se,bootstrap_se_mcse_approx,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,proportion_negative,proportion_positive,one_sided_basic_upper,one_sided_percentile_upper,p_left_centered_bootstrap,p_two_sided_centered_bootstrap,eligible_party,primary_hypothesis,percentile_direction,p_left_holm_within_family,negative_supported_basic,negative_supported_percentile,robust_negative
full,PS,P1,P2,18,18,-0.5511791654031875,-0.6040626547048135,-0.05288348930162601,999,True,-0.033343015618259614,0.019540473683366394,0.36950046113476825,0.01879276295198071,0.0004206398047919624,-0.06996306936753646,0.0022541277556697515,-0.10802110635892177,-0.03580390923571555,0.964964964964965,0.035035035035035036,-0.04160285145443609,-0.003211914246481657,0.002,0.037,True,False,inconclusive,0.01,True,True,True
full,RD,P1,P2,8,10,-0.6593794700681386,-0.713187471087967,-0.05380800101982841,999,True,-0.018183085549943984,0.03562491546988443,0.6620746876799334,0.016216545921602682,0.00036297614822752264,-0.05181560573231382,0.013414118816841467,-0.1210301208564983,-0.055800396307343,0.8788788788788788,0.12112112112112113,-0.06295847067665253,0.008642004762920487,0.001,0.122,True,False,inconclusive,0.01,True,False,False
full,RN,P1,P2,34,36,0.68961729458574,0.6482822732682885,-0.04133502131745148,999,True,-0.04277615172353276,-0.0014411304060812785,0.03486463439835796,0.01848376732360313,0.0004137235327603069,-0.07866918754239166,-0.007305326219733573,-0.07536471641516938,-0.004000855092511302,0.992992992992993,0.007007007007007007,-0.009647278137246501,-0.012643238197922771,0.014,0.021,True,False,left,0.042,True,True,True
full,UDI,P1,P2,30,31,0.7221332755509555,0.659678026352843,-0.06245524919811252,999,True,-0.03687757197124054,0.02557767722687198,0.4095360687095773,0.025294741378679993,0.0005661740693999282,-0.0851400145675927,0.014390339106909325,-0.13930083750313435,-0.03977048382863234,0.92992992992993,0.07007007007007007,-0.0466862411799837,0.004793910297359561,0.001,0.071,True,False,inconclusive,0.01,True,False,False
full,COMUNES,P1,P3,2,1,-0.825008541884477,-0.828296659615552,-0.0032881177310749576,999,True,0.07165172301582134,0.0749398407468963,22.791106303361232,0.04631790303073023,0.001036737053460568,-0.01580836813342523,0.16407666618238667,-0.1706529016445366,0.009232132671275314,0.06006006006006006,0.93993993993994,-0.005104556791652686,0.15152817224993242,0.042,0.981,False,True,inconclusive,,True,False,False
full,DC,P1,P3,15,14,-0.044760456162685,-0.34047036430029454,-0.29570990813760956,999,True,-0.2578365644117538,0.03787334372585577,0.12807600517812642,0.04770651111704753,0.0010678183710855257,-0.34522824776696076,-0.15264260836084867,-0.43877720791437047,-0.24619156850825835,1.0,0.0,-0.2615464398866632,-0.1737050607637462,0.001,0.001,True,True,left,0.01,True,True,True
full,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026,999,True,-0.031124323825781973,-0.042562962243711,3.720981526699666,0.04905423954703395,0.0010979846763356175,-0.12952286566805232,0.06438201933527693,-0.04150474249941888,0.15240014250391037,0.7357357357357357,0.26426426426426425,0.1336262137322473,0.05135600662368729,0.87,0.866,True,True,inconclusive,0.87,False,False,False
full,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999,999,True,0.09149061845148773,0.06640703891944774,2.647430715963967,0.0459552808599742,0.001028620454559714,0.0036619996196482897,0.186331162101968,-0.13616400303788803,0.04650515944443169,0.023023023023023025,0.9769769769769769,0.029547018461724275,0.16338426931996186,0.185,0.839,False,True,right,,False,False,False
full,IND,P1,P3,13,11,-0.554388833335475,-0.775545381012329,-0.221156547676854,999,True,-0.15117413489979842,0.06998241277705558,0.3164383488175596,0.0424463410020071,0.0009500795938755511,-0.23216791494968744,-0.07228775480664475,-0.37002534054706326,-0.21014518040402055,0.997997997997998,0.002002002002002002,-0.22285435293111402,-0.0843582401094944,0.001,0.003,True,True,left,0.01,True,True,True
full,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497,999,True,0.006621655430299242,0.07523950773166421,1.0965004763077892,0.0408357484426292,0.00091402958135173,-0.06946963670926988,0.08786773107596631,-0.22510343567869623,-0.06776606789346006,0.43043043043043044,0.5695695695695696,-0.07756563301440803,0.07292254956190942,0.002,0.571,False,True,inconclusive,,True,False,False
