cohort,party,target,period,n,median_d1,q25,q75,n_new_after_p1,n_near_center,n_effective_model_zero,share_new_after_p1,share_near_center
full,PR,P1,5,6,-0.2330479200152035,-0.3534698668397105,-0.0734268111753345,0,2,0,0.0,0.3333333333333333
full,PR,P2,8,6,-0.3028728080782735,-0.45235232125746827,-0.1485022577293475,0,0,0,0.0,0.0
full,PR,P3,12,6,-0.44982209157550646,-0.5841955938144779,-0.3222348273134325,0,0,0,0.0,0.0
full,PREP,P3,12,1,0.883440199908759,0.883440199908759,0.883440199908759,0,0,0,0.0,0.0
full,PRI,P1,5,1,-0.648184850333521,-0.648184850333521,-0.648184850333521,0,0,0,0.0,0.0
full,PRI,P2,8,1,-0.665608703422343,-0.665608703422343,-0.665608703422343,0,0,0,0.0,0.0
full,PRI,P3,12,1,-0.688840507540772,-0.688840507540772,-0.688840507540772,0,0,0,0.0,0.0
full,PRO,P2,8,1,-0.807806208531565,-0.807806208531565,-0.807806208531565,0,0,0,0.0,0.0
full,PRO,P3,12,1,-0.908890778604038,-0.908890778604038,-0.908890778604038,0,0,0,0.0,0.0
full,PS,P1,5,18,-0.5511791654031875,-0.5925535087422545,-0.48504041647284846,0,0,0,0.0,0.0
full,PS,P2,8,18,-0.6040626547048135,-0.6434884210233548,-0.574108690484231,0,0,0,0.0,0.0
full,PS,P3,12,18,-0.7041165625395276,-0.733783463376973,-0.6600782110157205,0,0,0,0.0,0.0
full,RD,P1,5,8,-0.6593794700681386,-0.6613934954356175,-0.6579604994544355,0,0,0,0.0,0.0
full,RD,P2,8,10,-0.713187471087967,-0.7303806650495552,-0.700363752839535,0,0,0,0.0,0.0
full,RD,P3,12,10,-0.765552460997935,-0.786044352788524,-0.7488046303444913,1,0,1,0.1,0.0
full,RN,P1,5,34,0.68961729458574,0.6417070782135585,0.7293258972314022,0,0,0,0.0,0.0
full,RN,P2,8,36,0.6482822732682885,0.595982865954777,0.7039050196278172,2,0,0,0.05555555555555555,0.0
full,RN,P3,12,33,0.564201830573194,0.48461085906385,0.672920259444329,2,0,0,0.06060606060606061,0.0
full,UDI,P1,5,30,0.7221332755509555,0.6536008691446117,0.7845342992681195,0,0,0,0.0,0.0
full,UDI,P2,8,31,0.659678026352843,0.597557299091042,0.8145902406553145,1,0,0,0.03225806451612903,0.0
full,UDI,P3,12,30,0.6332939042030685,0.4837772248395423,0.8434516936635368,3,1,2,0.1,0.03333333333333333
balanced,COMUNES,P1,5,2,-0.825008541884477,-0.8366529909665755,-0.8133640928023785,0,0,0,0.0,0.0
balanced,COMUNES,P2,8,1,-0.839725677005907,-0.839725677005907,-0.839725677005907,0,0,0,0.0,0.0
balanced,COMUNES,P3,12,1,-0.828296659615552,-0.828296659615552,-0.828296659615552,0,0,0,0.0,0.0
balanced,DC,P1,5,15,-0.044760456162685,-0.138101340946499,0.0385572039997985,0,8,0,0.0,0.5333333333333333
balanced,DC,P2,8,14,-0.1715803064734725,-0.256643212239991,-0.03138714179571925,0,6,0,0.0,0.42857142857142855
balanced,DC,P3,12,14,-0.34047036430029454,-0.4441352582186685,-0.12653827481041074,0,2,0,0.0,0.14285714285714285
balanced,EVOP,P1,5,6,0.6782538439126959,0.6301751576452025,0.7184549396737567,0,0,0,0.0,0.0
balanced,EVOP,P2,8,6,0.6751764274662135,0.6132745825888628,0.7195409729101658,0,0,0,0.0,0.0
balanced,EVOP,P3,12,6,0.689692482330625,0.5721212057206877,0.6930409876353617,0,0,0,0.0,0.0
balanced,FRVS,P1,5,1,-0.650312881306413,-0.650312881306413,-0.650312881306413,0,0,0,0.0,0.0
balanced,FRVS,P2,8,1,-0.639562775792681,-0.639562775792681,-0.639562775792681,0,0,0,0.0,0.0
balanced,FRVS,P3,12,1,-0.625229301774373,-0.625229301774373,-0.625229301774373,0,0,0,0.0,0.0
balanced,IND,P1,5,12,-0.4533070688802745,-0.7399098742631615,-0.053558813435071,0,2,0,0.0,0.16666666666666666
balanced,IND,P2,8,11,-0.532194455682746,-0.6018882556950851,-0.116473213493927,0,0,0,0.0,0.0
balanced,IND,P3,12,11,-0.775545381012329,-0.8050557254238491,-0.21479520079460102,0,0,0,0.0,0.0
balanced,LIBERAL,P1,5,2,-0.5714371538763365,-0.5770625253978527,-0.5658117823548202,0,0,0,0.0,0.0
balanced,LIBERAL,P2,8,2,-0.6008448048626356,-0.6227430912150198,-0.5789465185102513,0,0,0,0.0,0.0
balanced,LIBERAL,P3,12,2,-0.6400550061777015,-0.6836505123045762,-0.5964595000508268,0,0,0,0.0,0.0
balanced,PC,P1,5,7,-0.735586384401118,-0.738056173744277,-0.7247267286907055,0,0,0,0.0,0.0
balanced,PC,P2,8,7,-0.804715620725597,-0.8096847384927245,-0.8017571860708225,0,0,0,0.0,0.0
balanced,PC,P3,12,7,-0.901322606148173,-0.905428042534083,-0.8978756851249274,0,0,0,0.0,0.0
balanced,PCS,P2,8,1,-0.768102296495169,-0.768102296495169,-0.768102296495169,0,0,0,0.0,0.0
balanced,PCS,P3,12,1,-0.772951210860945,-0.772951210860945,-0.772951210860945,0,0,0,0.0,0.0
balanced,PEV,P1,5,1,-0.85883701866152,-0.85883701866152,-0.85883701866152,0,0,0,0.0,0.0
balanced,PEV,P2,8,1,-0.895505235301001,-0.895505235301001,-0.895505235301001,0,0,0,0.0,0.0
balanced,PEV,P3,12,1,-0.944396190820311,-0.944396190820311,-0.944396190820311,0,0,0,0.0,0.0
balanced,PH,P1,5,3,-0.899887491424543,-0.90176899880414,-0.8905354599726685,0,0,0,0.0,0.0
balanced,PH,P2,8,2,-0.90519762497366,-0.9142802747100475,-0.8961149752372725,0,0,0,0.0,0.0
balanced,PH,P3,12,2,-0.9222385018021866,-0.9509203770747383,-0.8935566265296347,0,0,0,0.0,0.0
balanced,PPD,P1,5,5,-0.513461481115519,-0.630367379292759,-0.483279127830535,0,0,0,0.0,0.0
balanced,PPD,P2,8,5,-0.604162414555985,-0.661396866266036,-0.563762217404413,0,0,0,0.0,0.0
balanced,PPD,P3,12,5,-0.702769515563739,-0.725096992476606,-0.694659810173255,0,0,0,0.0,0.0
balanced,PR,P1,5,6,-0.2330479200152035,-0.3534698668397105,-0.0734268111753345,0,2,0,0.0,0.3333333333333333
balanced,PR,P2,8,6,-0.3028728080782735,-0.45235232125746827,-0.1485022577293475,0,0,0,0.0,0.0
balanced,PR,P3,12,6,-0.44982209157550646,-0.5841955938144779,-0.3222348273134325,0,0,0,0.0,0.0
balanced,PREP,P3,12,1,0.883440199908759,0.883440199908759,0.883440199908759,0,0,0,0.0,0.0
balanced,PRI,P1,5,1,-0.648184850333521,-0.648184850333521,-0.648184850333521,0,0,0,0.0,0.0
