cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
stable,RD,P3,12,7,-0.769886920518866,999,-0.7525154786017463,0.0173714419171197,0.030075585216939867,-0.8091655192662858,-0.6936441921833741,-0.8461296488543578,-0.7306083217714462
stable,RN,P1,5,31,0.710047930713102,999,0.7349178151396669,0.024869884426564903,0.01401394571962426,0.7080907427859194,0.7623639957155093,0.6577318657106948,0.7120051186402846
stable,RN,P2,8,31,0.647569892484926,999,0.6821584779438498,0.03458858545892374,0.012710523471151862,0.6570752587112118,0.7062602202426422,0.5888795647272098,0.6380645262586403
stable,RN,P3,12,31,0.577325817741585,999,0.6166924973209323,0.03936667957934736,0.03280140604679269,0.5503848234825824,0.6796383968814128,0.47501323860175715,0.6042668120005875
stable,UDI,P1,5,27,0.721541856809094,999,0.7562540474664199,0.03471219065732589,0.015044142611006452,0.7255290340010557,0.7830204554797895,0.6600632581383985,0.7175546796171323
stable,UDI,P2,8,27,0.650840823750527,999,0.7030118177757505,0.052170994025223516,0.01726789728556213,0.6709318523708477,0.7364700833046918,0.5652115641963622,0.6307497951302062
stable,UDI,P3,12,27,0.592240941845502,999,0.6522707825368441,0.060029840691342096,0.036655704857895315,0.5788620967012178,0.7214147097992031,0.46306717389180097,0.6056197869897862
continuous,COMUNES,P1,5,1,-0.848297440048674,999,-0.9074605575393286,-0.059163117490654615,0.021993193826736472,-0.949550344825114,-0.8643029253283188,-0.8322919547690293,-0.747044535272234
continuous,COMUNES,P2,8,1,-0.839725677005907,999,-0.8666486249527823,-0.02692294794687533,0.01975174981558454,-0.9053047979824832,-0.8287670425165451,-0.8506843114952688,-0.7741465560293307
continuous,COMUNES,P3,12,1,-0.828296659615552,999,-0.812232714837387,0.016063944778164974,0.04040148608918159,-0.8903486941978268,-0.7327166080596585,-0.9238767111714454,-0.7662446250332772
continuous,DC,P1,5,12,-0.019862581324394498,999,-0.033819377321227716,-0.013956795996833218,0.015193559824181337,-0.06481155847514383,-0.006344859439757173,-0.03338030320903182,0.025086395826354836
continuous,DC,P2,8,12,-0.126573786162005,999,-0.1226896309616637,0.0038841552003412855,0.01122922511550828,-0.1460434767603929,-0.1005353726896951,-0.15261219963431488,-0.10710409556361708
continuous,DC,P3,12,12,-0.268855392612152,999,-0.2374311700570976,0.03142422255505442,0.033761417280632686,-0.3049580066198741,-0.16857113829258102,-0.369139646931723,-0.23275277860442994
continuous,EVOP,P1,5,6,0.6782538439126959,999,0.7215672023401745,0.04331335842747852,0.01998050210711549,0.684499744876208,0.762251251477187,0.5942564363482049,0.6720079429491839
continuous,EVOP,P2,8,6,0.6751764274662135,999,0.704397923058519,0.02922149559230547,0.01665880396651008,0.6712193551351577,0.7396446776645362,0.6107081772678908,0.6791334997972693
continuous,EVOP,P3,12,6,0.689692482330625,999,0.6904428785143925,0.0007503961837674877,0.038824521011188814,0.6154697151376964,0.7681079722388563,0.6112769924223936,0.7639152495235535
continuous,FRVS,P1,5,1,-0.650312881306413,999,-0.7028947163573697,-0.052581835050956705,0.018841398664547124,-0.7380453599048435,-0.6672625843239309,-0.633363178288895,-0.5625804027079824
continuous,FRVS,P2,8,1,-0.639562775792681,999,-0.663684451306732,-0.02412167551405109,0.017551582637944613,-0.6958947370193797,-0.6261646881701007,-0.6529608634152612,-0.5832308145659822
continuous,FRVS,P3,12,1,-0.625229301774373,999,-0.611404097905882,0.013825203868490954,0.03810858306455104,-0.6853056787387585,-0.5338378823197049,-0.7166207212290411,-0.5651529248099875
continuous,IND,P1,5,8,-0.1736703936396495,999,-0.19893860971079672,-0.02526821607114721,0.01607984592020869,-0.2309528909630849,-0.16825879242739727,-0.17908199485190174,-0.1163878963162141
continuous,IND,P2,8,8,-0.31355018333937545,999,-0.3161139330948177,-0.0025637497554422684,0.013959857782198994,-0.3431288192711399,-0.2894001439824516,-0.3377002226962993,-0.283971547407611
continuous,IND,P3,12,8,-0.358627945170356,999,-0.3283780385373361,0.030249906633019907,0.031592827126461956,-0.3900247722447409,-0.2678935556484424,-0.4493623346922696,-0.3272311180959711
continuous,LIBERAL,P1,5,2,-0.5714371538763365,999,-0.6322431191884157,-0.06080596531207916,0.01532437569667304,-0.6611311867879242,-0.6030147509661546,-0.5398595567865184,-0.4817431209647489
continuous,LIBERAL,P2,8,2,-0.6008448048626356,999,-0.6294052668611446,-0.028560461998509035,0.013846781923003064,-0.6565333753329498,-0.6036435761654534,-0.5980460335598178,-0.5451562343923214
continuous,LIBERAL,P3,12,2,-0.6400550061777015,999,-0.6256214637581166,0.014433542419584944,0.032972003700235654,-0.6930553586177887,-0.5611535948151063,-0.7189564175402967,-0.5870546537376143
continuous,PC,P1,5,7,-0.735586384401118,999,-0.7796183877132077,-0.044032003312089674,0.015034063168628369,-0.809472633664256,-0.7502484774430783,-0.7209242913591577,-0.66170013513798
continuous,PC,P2,8,7,-0.804715620725597,999,-0.8254029790613291,-0.020687358335732098,0.012406224904837,-0.8496231138825084,-0.8004313617872136,-0.8089998796639803,-0.7598081275686855
continuous,PC,P3,12,7,-0.901322606148173,999,-0.8815148735977946,0.019807732550378376,0.028085548924980882,-0.9335550399760995,-0.8279045123605246,-0.9747406999358212,-0.8690901723202464
continuous,PEV,P1,5,1,-0.85883701866152,999,-0.907106131146712,-0.048269112485192056,0.026658838652183065,-0.947152435590559,-0.8693251593364608,-0.8483488779865791,-0.770521601732481
continuous,PEV,P2,8,1,-0.895505235301001,999,-0.9107817526430338,-0.015276517342032836,0.025063030041330724,-0.9465879619373284,-0.8739248156914227,-0.9170856549105794,-0.8444225086646736
continuous,PEV,P3,12,1,-0.944396190820311,999,-0.9156825813047961,0.028713609515514937,0.03966998067767769,-0.9879011839897177,-0.839202514290778,-1.049589867349844,-0.9008911976509043
continuous,PH,P1,5,1,-0.881183428520794,999,-0.9186671424591475,-0.03748371393835348,0.029922767438997116,-0.9568233918652068,-0.8810837644502927,-0.8812830925912953,-0.8055434651763812
continuous,PH,P2,8,1,-0.923362924446435,999,-0.9320647953441542,-0.008701870897719233,0.029675719917012476,-0.9678120372622222,-0.8950789432900811,-0.9516469056027889,-0.8789138116306477
continuous,PH,P3,12,1,-0.97960225234729,999,-0.9499283325241632,0.029673919823126838,0.04367276180661848,-1.0237062267275097,-0.8726191966444727,-1.0865853080501073,-0.9354982779670704
continuous,PPD,P1,5,4,-0.571914430204139,999,-0.6216179511101279,-0.04970352090598884,0.015552318498665235,-0.6512556111232318,-0.5913449864520041,-0.552483873956274,-0.4925732492850462
continuous,PPD,P2,8,4,-0.6327796404110104,999,-0.6559076533680954,-0.023128012957084998,0.013911962193132076,-0.6826227649902251,-0.6303119999426752,-0.6352472808793457,-0.5829365158317957
continuous,PPD,P3,12,4,-0.7139332540201725,999,-0.7064460460467067,0.007487207973465804,0.03205778429837427,-0.7662176880252957,-0.6438876911399809,-0.7839788169003641,-0.6616488200150493
continuous,PR,P1,5,5,-0.345202449763322,999,-0.3832011315606304,-0.03799868179730842,0.017408953731550093,-0.41640443999122595,-0.3495669559046398,-0.34083794362200415,-0.274000459535418
continuous,PR,P2,8,5,-0.437225962224843,999,-0.4517549983917371,-0.014529036166894105,0.014653639739398653,-0.47945211069791094,-0.42345725443613036,-0.45099467001355564,-0.39499981375177506
continuous,PR,P3,12,5,-0.559923978840204,999,-0.5382665266733612,0.021657452166842783,0.03660263885533927,-0.6076606178743696,-0.46603430583602823,-0.6538136518443797,-0.5121873398060383
continuous,PRI,P1,5,1,-0.648184850333521,999,-0.6995718069536175,-0.05138695662009651,0.018278483203813853,-0.7356969708183655,-0.664517898225822,-0.6318518024412201,-0.5606727298486766
continuous,PRI,P2,8,1,-0.665608703422343,999,-0.6901286716323118,-0.024519968209968823,0.017436786844421837,-0.7236016581738484,-0.6551881075003949,-0.6760292993442911,-0.6076157486708377
continuous,PRI,P3,12,1,-0.688840507540772,999,-0.6775378245372377,0.01130268300353432,0.03779413176605647,-0.7477926128295946,-0.6036164930172102,-0.7740645220643337,-0.6298884022519493
continuous,PS,P1,5,17,-0.554784136373588,999,-0.6019520964883123,-0.04716796011472424,0.015457747397738659,-0.6316906072855312,-0.5708689597488753,-0.5386993129983008,-0.4778776654616449
continuous,PS,P2,8,17,-0.606830700711562,999,-0.634422439127088,-0.02759173841552598,0.012936597583948202,-0.6605381609235188,-0.6094093712391946,-0.6042520301839294,-0.5531232404996052
continuous,PS,P3,12,17,-0.69756033345289,999,-0.6834829468212467,0.014077386631643374,0.029846684026655967,-0.7423573509487253,-0.6245432199123628,-0.7705774469934172,-0.6527633159570547
continuous,RD,P1,5,7,-0.658960824605082,999,-0.7240365982172657,-0.06507577361218375,0.013458495123838624,-0.7519120534446839,-0.697833756096509,-0.620087893113655,-0.56600959576548
continuous,RD,P2,8,7,-0.706979031954483,999,-0.7364145403273039,-0.02943550837282094,0.012378699725917895,-0.758935434447507,-0.7126184104957034,-0.7013396534132625,-0.655022629461459
continuous,RD,P3,12,7,-0.769886920518866,999,-0.7525154786017463,0.0173714419171197,0.030075585216939867,-0.8091655192662858,-0.6936441921833741,-0.8461296488543578,-0.7306083217714462
continuous,RN,P1,5,26,0.7167656664086846,999,0.7445281258272753,0.02776245941859079,0.01395780433302844,0.7168754847857522,0.7708954623845925,0.6626358704327766,0.7166558480316169
continuous,RN,P2,8,26,0.6526979235982905,999,0.6932926275433964,0.04059470394510589,0.01277128164738331,0.6683988720982897,0.7175851221885579,0.5878107250080231,0.6369969750982912
continuous,RN,P3,12,26,0.5788023390076364,999,0.6232042981663953,0.044401959158758886,0.03246437587421238,0.5563443780205309,0.6852034488176074,0.4724012291976655,0.601260299994742
continuous,UDI,P1,5,22,0.7221332755509555,999,0.7566784173193781,0.034545141768422605,0.015000042577783614,0.7260680445095,0.7841741327095504,0.6600924183923607,0.718198506592411
continuous,UDI,P2,8,22,0.6838279387131105,999,0.7184658918673912,0.03463795315428064,0.014276412053867104,0.6906158000832047,0.7456268776359306,0.6220289997902905,0.6770400773430164
continuous,UDI,P3,12,22,0.6332939042030685,999,0.6711940413288917,0.037900137125823186,0.034921720564163636,0.600867051162142,0.7391641721067109,0.5274236362994261,0.665720757243995
