cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
stable,COMUNES,P2,8,1,-0.839725677005907,999,-0.8666486249527823,-0.02692294794687533,0.01975174981558454,-0.9053047979824832,-0.8287670425165451,-0.8506843114952688,-0.7741465560293307
stable,COMUNES,P3,12,1,-0.828296659615552,999,-0.812232714837387,0.016063944778164974,0.04040148608918159,-0.8903486941978268,-0.7327166080596585,-0.9238767111714454,-0.7662446250332772
stable,DC,P1,5,14,-0.039251361545328003,999,-0.05516341448500942,-0.01591205293968142,0.015532095730789348,-0.08613616562811673,-0.02649495431246003,-0.052007768778195976,0.007633442537460719
stable,DC,P2,8,14,-0.1715803064734725,999,-0.17248059614034825,-0.0009002896668757476,0.012663057993448945,-0.1988068281068885,-0.14873775820412546,-0.19442285474281953,-0.1443537848400565
stable,DC,P3,12,14,-0.34047036430029454,999,-0.32004151101196776,0.020428853288326776,0.036755397050553223,-0.39027458019723743,-0.2398267920555014,-0.4411139365450877,-0.29066614840335164
stable,EVOP,P1,5,6,0.6782538439126959,999,0.7215672023401745,0.04331335842747852,0.01998050210711549,0.684499744876208,0.762251251477187,0.5942564363482049,0.6720079429491839
stable,EVOP,P2,8,6,0.6751764274662135,999,0.704397923058519,0.02922149559230547,0.01665880396651008,0.6712193551351577,0.7396446776645362,0.6107081772678908,0.6791334997972693
stable,EVOP,P3,12,6,0.689692482330625,999,0.6904428785143925,0.0007503961837674877,0.038824521011188814,0.6154697151376964,0.7681079722388563,0.6112769924223936,0.7639152495235535
stable,FRVS,P1,5,1,-0.650312881306413,999,-0.7028947163573697,-0.052581835050956705,0.018841398664547124,-0.7380453599048435,-0.6672625843239309,-0.633363178288895,-0.5625804027079824
stable,FRVS,P2,8,1,-0.639562775792681,999,-0.663684451306732,-0.02412167551405109,0.017551582637944613,-0.6958947370193797,-0.6261646881701007,-0.6529608634152612,-0.5832308145659822
stable,FRVS,P3,12,1,-0.625229301774373,999,-0.611404097905882,0.013825203868490954,0.03810858306455104,-0.6853056787387585,-0.5338378823197049,-0.7166207212290411,-0.5651529248099875
stable,IND,P1,5,8,-0.1736703936396495,999,-0.19893860971079672,-0.02526821607114721,0.01607984592020869,-0.2309528909630849,-0.16825879242739727,-0.17908199485190174,-0.1163878963162141
stable,IND,P2,8,8,-0.31355018333937545,999,-0.3161139330948177,-0.0025637497554422684,0.013959857782198994,-0.3431288192711399,-0.2894001439824516,-0.3377002226962993,-0.283971547407611
stable,IND,P3,12,8,-0.358627945170356,999,-0.3283780385373361,0.030249906633019907,0.031592827126461956,-0.3900247722447409,-0.2678935556484424,-0.4493623346922696,-0.3272311180959711
stable,LIBERAL,P1,5,2,-0.5714371538763365,999,-0.6322431191884157,-0.06080596531207916,0.01532437569667304,-0.6611311867879242,-0.6030147509661546,-0.5398595567865184,-0.4817431209647489
stable,LIBERAL,P2,8,2,-0.6008448048626356,999,-0.6294052668611446,-0.028560461998509035,0.013846781923003064,-0.6565333753329498,-0.6036435761654534,-0.5980460335598178,-0.5451562343923214
stable,LIBERAL,P3,12,2,-0.6400550061777015,999,-0.6256214637581166,0.014433542419584944,0.032972003700235654,-0.6930553586177887,-0.5611535948151063,-0.7189564175402967,-0.5870546537376143
stable,PC,P1,5,7,-0.735586384401118,999,-0.7796183877132077,-0.044032003312089674,0.015034063168628369,-0.809472633664256,-0.7502484774430783,-0.7209242913591577,-0.66170013513798
stable,PC,P2,8,7,-0.804715620725597,999,-0.8254029790613291,-0.020687358335732098,0.012406224904837,-0.8496231138825084,-0.8004313617872136,-0.8089998796639803,-0.7598081275686855
stable,PC,P3,12,7,-0.901322606148173,999,-0.8815148735977946,0.019807732550378376,0.028085548924980882,-0.9335550399760995,-0.8279045123605246,-0.9747406999358212,-0.8690901723202464
stable,PEV,P1,5,1,-0.85883701866152,999,-0.907106131146712,-0.048269112485192056,0.026658838652183065,-0.947152435590559,-0.8693251593364608,-0.8483488779865791,-0.770521601732481
stable,PEV,P2,8,1,-0.895505235301001,999,-0.9107817526430338,-0.015276517342032836,0.025063030041330724,-0.9465879619373284,-0.8739248156914227,-0.9170856549105794,-0.8444225086646736
stable,PEV,P3,12,1,-0.944396190820311,999,-0.9156825813047961,0.028713609515514937,0.03966998067767769,-0.9879011839897177,-0.839202514290778,-1.049589867349844,-0.9008911976509043
stable,PH,P1,5,2,-0.8924169673522655,999,-0.9354099337844598,-0.0429929664321943,0.021300163205554022,-0.9714553182727506,-0.9002713949624265,-0.8845625397421045,-0.8133786164317804
