cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a
full,RD,P1,P2,8,10,-0.6593794700681386,-0.713187471087967,-0.05380800101982841
full,RD,P1,P3,8,10,-0.6593794700681386,-0.765552460997935,-0.10617299092979637
full,RD,P2,P3,10,10,-0.713187471087967,-0.765552460997935,-0.05236498990996796
full,RN,P1,P2,34,36,0.68961729458574,0.6482822732682885,-0.04133502131745148
full,RN,P1,P3,34,33,0.68961729458574,0.564201830573194,-0.125415464012546
full,RN,P2,P3,36,33,0.6482822732682885,0.564201830573194,-0.08408044269509451
full,UDI,P1,P2,30,31,0.7221332755509555,0.659678026352843,-0.06245524919811252
full,UDI,P1,P3,30,30,0.7221332755509555,0.6332939042030685,-0.088839371347887
full,UDI,P2,P3,31,30,0.659678026352843,0.6332939042030685,-0.02638412214977448
stable,COMUNES,P1,P2,1,1,-0.848297440048674,-0.839725677005907,0.008571763042767078
stable,COMUNES,P1,P3,1,1,-0.848297440048674,-0.828296659615552,0.020000780433122034
stable,COMUNES,P2,P3,1,1,-0.839725677005907,-0.828296659615552,0.011429017390354956
stable,DC,P1,P2,14,14,-0.039251361545328003,-0.1715803064734725,-0.1323289449281445
stable,DC,P1,P3,14,14,-0.039251361545328003,-0.34047036430029454,-0.30121900275496655
stable,DC,P2,P3,14,14,-0.1715803064734725,-0.34047036430029454,-0.16889005782682204
stable,EVOP,P1,P2,6,6,0.6782538439126959,0.6751764274662135,-0.003077416446482406
stable,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026
stable,EVOP,P2,P3,6,6,0.6751764274662135,0.689692482330625,0.014516054864411432
stable,FRVS,P1,P2,1,1,-0.650312881306413,-0.639562775792681,0.010750105513732011
stable,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999
stable,FRVS,P2,P3,1,1,-0.639562775792681,-0.625229301774373,0.014333474018307979
stable,IND,P1,P2,8,8,-0.1736703936396495,-0.31355018333937545,-0.13987978969972595
stable,IND,P1,P3,8,8,-0.1736703936396495,-0.358627945170356,-0.1849575515307065
stable,IND,P2,P3,8,8,-0.31355018333937545,-0.358627945170356,-0.045077761830980556
stable,LIBERAL,P1,P2,2,2,-0.5714371538763365,-0.6008448048626356,-0.02940765098629905
stable,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497
stable,LIBERAL,P2,P3,2,2,-0.6008448048626356,-0.6400550061777015,-0.03921020131506592
stable,PC,P1,P2,7,7,-0.735586384401118,-0.804715620725597,-0.06912923632447898
stable,PC,P1,P3,7,7,-0.735586384401118,-0.901322606148173,-0.16573622174705493
stable,PC,P2,P3,7,7,-0.804715620725597,-0.901322606148173,-0.09660698542257595
stable,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055
stable,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105
stable,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931
stable,PH,P1,P2,2,2,-0.8924169673522655,-0.90519762497366,-0.012780657621394464
stable,PH,P1,P3,2,2,-0.8924169673522655,-0.9222385018021866,-0.029821534449921083
stable,PH,P2,P3,2,2,-0.90519762497366,-0.9222385018021866,-0.01704087682852662
stable,PPD,P1,P2,5,5,-0.513461481115519,-0.604162414555985,-0.09070093344046593
stable,PPD,P1,P3,5,5,-0.513461481115519,-0.702769515563739,-0.18930803444821998
stable,PPD,P2,P3,5,5,-0.604162414555985,-0.702769515563739,-0.09860710100775405
stable,PR,P1,P2,6,6,-0.2330479200152035,-0.3028728080782735,-0.06982488806307
